date,price
2025-06-09,27.56
2025-06-10,28.98
2025-06-11,25.15
2025-06-12,27.25
2025-06-13,26.98
2025-06-14,27.91
2025-06-15,29.39
2025-06-16,28.5
2025-06-17,30.73
2025-06-18,31.2
2025-06-19,30.99
2025-06-20,30.85
2025-06-21,30.81
2025-06-22,30.87
2025-06-23,30.9
2025-06-24,30.83
2025-06-25,30.7
2025-06-26,31.0
2025-06-27,31.12
2025-06-28,31.39
2025-06-29,31.57
2025-06-30,31.69
2025-07-01,31.7
2025-07-02,31.85
2025-07-03,31.85
2025-07-04,32.69
2025-07-05,32.67
2025-07-06,32.64
2025-07-07,32.32
2025-07-08,32.6
2025-07-09,32.6
2025-07-10,32.76
2025-07-11,32.82
2025-07-12,32.44
2025-07-13,32.48
2025-07-14,32.45
2025-07-15,32.61
2025-07-16,32.68
2025-07-17,32.71
2025-07-18,32.97
2025-07-19,33.03
2025-07-20,32.94
2025-07-21,33.0
2025-07-22,33.01
2025-07-23,32.78
2025-07-24,32.71
2025-07-25,32.91
2025-07-26,32.95
2025-07-27,32.98
2025-07-28,32.99
2025-07-29,33.04
2025-07-30,33.28
2025-07-31,33.36
2025-08-01,33.33
2025-08-02,33.58
2025-08-03,33.48
2025-08-04,33.47
2025-08-05,33.51
2025-08-06,33.41
2025-08-07,33.35
2025-08-08,33.39
2025-08-09,33.4
2025-08-10,33.47
2025-08-11,33.5
2025-08-12,33.53
2025-08-13,33.55
2025-08-14,33.67
2025-08-15,33.47
2025-08-16,33.24
2025-08-17,33.28
2025-08-18,33.27
2025-08-19,33.24
2025-08-20,33.13
2025-08-21,33.21
2025-08-22,33.1
2025-08-23,33.16
2025-08-24,32.9
2025-08-25,32.87
2025-08-26,33.01
2025-08-27,33.04
2025-08-28,33.14
2025-08-29,33.17
2025-08-30,33.36
2025-08-31,33.39
2025-09-01,33.39
2025-09-02,33.22
2025-09-03,33.35
2025-09-04,33.46
2025-09-05,33.69
2025-09-06,33.72
2025-09-07,33.62
2025-09-08,33.53
2025-09-09,33.75
2025-09-10,33.93
2025-09-11,33.96
2025-09-12,34.12
2025-09-13,34.1
2025-09-14,34.16
2025-09-15,34.13
2025-09-16,34.29
2025-09-17,34.4
2025-09-18,35.07
2025-09-19,35.02
2025-09-20,35.14
2025-09-21,35.3
2025-09-22,36.06
2025-09-23,35.93
2025-09-24,36.07
2025-09-25,36.24
2025-09-26,36.19
2025-09-27,36.05
2025-09-28,35.97
2025-09-29,36.0
2025-09-30,36.2
2025-10-01,36.24
2025-10-02,36.25
2025-10-03,36.22
2025-10-04,36.26
2025-10-05,36.23
2025-10-06,36.06
2025-10-07,36.19
2025-10-08,36.33
2025-10-09,36.36
2025-10-10,36.35
2025-10-11,36.24
2025-10-12,36.27
2025-10-13,36.24
2025-10-14,36.28
2025-10-15,36.27
2025-10-16,36.26
2025-10-17,36.32
2025-10-18,36.38
2025-10-19,36.36
2025-10-20,36.33
2025-10-21,36.27
2025-10-22,36.33
2025-10-23,36.36
2025-10-24,36.45
2025-10-25,36.44
2025-10-26,36.36
2025-10-27,36.18
2025-10-28,36.44
2025-10-29,36.34
2025-10-30,36.45
2025-10-31,36.46
2025-11-01,36.44
2025-11-02,36.47
2025-11-03,36.31
2025-11-04,36.43
2025-11-05,36.28
2025-11-06,36.25
2025-11-07,36.28
2025-11-08,36.17
2025-11-09,36.19
2025-11-10,36.09
2025-11-11,36.14
2025-11-12,36.32
2025-11-13,36.49
2025-11-14,36.25
2025-11-15,36.23
2025-11-16,36.32
2025-11-17,36.34
2025-11-18,36.55
2025-11-19,36.63
2025-11-20,36.53
2025-11-21,36.47
2025-11-22,36.53
2025-11-23,36.66
2025-11-24,36.47
2025-11-25,36.48
2025-11-26,36.45
2025-11-27,36.39
2025-11-28,36.25
2025-11-29,36.34
2025-11-30,36.42
2025-12-01,36.45
2025-12-02,36.52
2025-12-03,36.58
2025-12-04,36.65
2025-12-05,36.65
2025-12-06,36.65
2025-12-07,36.65
2025-12-08,36.66
2025-12-09,36.58
2025-12-10,36.42
2025-12-11,36.36
2025-12-12,36.41
2025-12-13,36.34
2025-12-14,36.38
2025-12-15,36.32
2025-12-16,36.29
2025-12-17,36.36
2025-12-18,36.46
2025-12-19,36.3
2025-12-20,36.4
2025-12-21,36.37
2025-12-22,36.53
2025-12-23,36.58
2025-12-24,36.54
2025-12-25,36.38
2025-12-26,36.21
