date,price
2025-03-05,505.44
2025-03-06,505.22
2025-03-07,504.84
2025-03-08,504.59
2025-03-09,505.09
2025-03-10,505.19
2025-03-11,505.44
2025-03-12,505.94
2025-03-13,506.2
2025-03-14,507.67
2025-03-15,507.67
2025-03-16,507.98
2025-03-17,507.47
2025-03-18,507.51
2025-03-19,508.51
2025-03-20,508.49
2025-03-21,508.72
2025-03-22,508.73
2025-03-23,508.88
2025-03-24,509.32
2025-03-25,509.56
2025-03-26,516.17
2025-03-27,516.93
2025-03-28,519.18
2025-03-29,518.98
2025-03-30,518.37
2025-03-31,518.32
2025-04-01,519.43
2025-04-02,519.49
2025-04-03,519.36
2025-04-04,519.18
2025-04-05,517.85
2025-04-06,518.73
2025-04-07,518.71
2025-04-08,518.47
2025-04-09,518.41
2025-04-10,518.16
2025-04-11,517.84
2025-04-12,517.39
2025-04-13,519.19
2025-04-14,519.5
2025-04-15,520.25
2025-04-16,520.01
2025-04-17,521.24
2025-04-18,521.2
2025-04-19,522.99
2025-04-20,523.49
2025-04-21,523.07
2025-04-22,522.83
2025-04-23,522.59
2025-04-24,522.58
2025-04-25,522.85
2025-04-26,524.1
2025-04-27,523.6
2025-04-28,523.45
2025-04-29,522.26
2025-04-30,522.28
2025-05-01,520.81
2025-05-02,520.32
2025-05-03,519.32
2025-05-04,519.38
2025-05-05,518.83
2025-05-06,519.5
2025-05-07,519.75
2025-05-08,518.79
2025-05-09,519.3
2025-05-10,518.93
2025-05-11,518.56
2025-05-12,520.05
2025-05-13,519.62
2025-05-14,520.95
2025-05-15,521.45
2025-05-16,523.66
2025-05-17,524.04
2025-05-18,524.04
2025-05-19,522.39
2025-05-20,521.39
2025-05-21,521.71
2025-05-22,510.78
2025-05-23,510.74
2025-05-24,512.25
2025-05-25,511.0
2025-05-26,507.8
2025-05-27,503.94
2025-05-28,501.6
2025-05-29,502.44
2025-05-30,501.26
2025-05-31,500.75
2025-06-01,500.88
2025-06-02,499.91
2025-06-03,499.47
2025-06-04,500.68
2025-06-05,502.36
2025-06-06,504.13
2025-06-07,502.38
2025-06-08,502.39
2025-06-09,503.39
2025-06-10,505.63
2025-06-11,506.58
2025-06-12,505.68
2025-06-13,505.53
2025-06-14,505.05
2025-06-15,505.68
2025-06-16,506.95
2025-06-17,507.08
2025-06-18,508.13
2025-06-19,508.71
2025-06-20,509.51
2025-06-21,509.99
2025-06-22,509.03
2025-06-23,510.02
2025-06-24,511.6
2025-06-25,514.47
2025-06-26,515.0
2025-06-27,515.85
2025-06-28,515.83
2025-06-29,517.35
2025-06-30,517.24
2025-07-01,518.36
2025-07-02,518.79
2025-07-03,521.41
2025-07-04,520.88
2025-07-05,521.57
2025-07-06,523.81
2025-07-07,524.61
2025-07-08,524.13
2025-07-09,523.64
2025-07-10,524.06
2025-07-11,524.08
2025-07-12,523.88
2025-07-13,524.3
2025-07-14,524.16
2025-07-15,524.71
2025-07-16,524.48
2025-07-17,526.3
2025-07-18,525.81
2025-07-19,526.11
2025-07-20,525.14
2025-07-21,524.57
2025-07-22,524.82
2025-07-23,525.05
2025-07-24,524.8
2025-07-25,526.05
2025-07-26,526.55
2025-07-27,525.84
2025-07-28,526.92
2025-07-29,525.69
2025-07-30,526.38
2025-07-31,526.11
2025-08-01,525.36
2025-08-02,525.73
2025-08-03,525.0
2025-08-04,524.92
2025-08-05,524.13
2025-08-06,521.89
2025-08-07,522.31
2025-08-08,521.23
2025-08-09,521.61
2025-08-10,521.61
2025-08-11,522.36
2025-08-12,521.14
2025-08-13,521.39
2025-08-14,521.12
2025-08-15,522.17
2025-08-16,522.72
2025-08-17,523.48
2025-08-18,524.64
2025-08-19,524.14
2025-08-20,524.39
2025-08-21,523.7
2025-08-22,524.4
2025-08-23,524.95
2025-08-24,523.71
