date,price
2025-03-05,38.93
2025-03-06,38.92
2025-03-07,38.69
2025-03-08,38.55
2025-03-09,38.33
2025-03-10,38.4
2025-03-11,38.24
2025-03-12,38.0
2025-03-13,38.04
2025-03-14,38.01
2025-03-15,37.84
2025-03-16,37.52
2025-03-17,37.39
2025-03-18,37.35
2025-03-19,37.25
2025-03-20,37.16
2025-03-21,37.32
2025-03-22,37.26
2025-03-23,37.22
2025-03-24,36.87
2025-03-25,37.13
2025-03-26,37.26
2025-03-27,37.1
2025-03-28,37.18
2025-03-29,37.16
2025-03-30,37.06
2025-03-31,37.04
2025-04-01,37.19
2025-04-02,37.04
2025-04-03,37.17
2025-04-04,37.3
2025-04-05,37.33
2025-04-06,37.23
2025-04-07,37.26
2025-04-08,37.45
2025-04-09,37.32
2025-04-10,37.35
2025-04-11,37.26
2025-04-12,37.16
2025-04-13,37.19
2025-04-14,36.97
2025-04-15,36.93
2025-04-16,37.03
2025-04-17,36.94
2025-04-18,36.88
2025-04-19,36.97
2025-04-20,37.0
2025-04-21,36.79
2025-04-22,36.57
2025-04-23,36.57
2025-04-24,36.57
2025-04-25,36.51
2025-04-26,36.37
2025-04-27,36.26
2025-04-28,36.32
2025-04-29,36.3
2025-04-30,36.2
2025-05-01,36.26
2025-05-02,36.24
2025-05-03,36.23
2025-05-04,36.18
2025-05-05,38.94
2025-05-06,39.17
2025-05-07,39.15
2025-05-08,41.62
2025-05-09,41.52
2025-05-10,43.95
2025-05-11,44.01
2025-05-12,44.3
2025-05-13,44.5
2025-05-14,44.91
2025-05-15,45.85
2025-05-16,46.87
2025-05-17,46.82
2025-05-18,46.82
2025-05-19,46.67
2025-05-20,46.68
2025-05-21,46.68
2025-05-22,47.82
2025-05-23,48.45
2025-05-24,49.03
2025-05-25,49.28
2025-05-26,49.62
2025-05-27,49.79
2025-05-28,49.79
2025-05-29,49.86
2025-05-30,50.03
2025-05-31,50.22
2025-06-01,50.12
2025-06-02,50.08
2025-06-03,50.25
2025-06-04,50.35
2025-06-05,50.92
2025-06-06,50.72
2025-06-07,51.1
2025-06-08,51.26
2025-06-09,51.11
2025-06-10,51.89
2025-06-11,51.84
2025-06-12,52.03
2025-06-13,51.98
2025-06-14,51.6
2025-06-15,51.5
2025-06-16,51.6
2025-06-17,51.61
2025-06-18,51.47
2025-06-19,51.62
2025-06-20,51.98
2025-06-21,51.78
2025-06-22,51.73
2025-06-23,51.43
2025-06-24,51.68
2025-06-25,52.08
2025-06-26,52.39
2025-06-27,52.58
2025-06-28,52.13
2025-06-29,52.43
2025-06-30,52.43
2025-07-01,52.28
2025-07-02,52.09
2025-07-03,51.84
2025-07-04,51.94
2025-07-05,52.04
2025-07-06,52.39
2025-07-07,52.49
2025-07-08,52.54
2025-07-09,53.95
2025-07-10,54.14
2025-07-11,54.39
2025-07-12,54.64
2025-07-13,54.55
2025-07-14,54.48
2025-07-15,54.76
2025-07-16,54.71
2025-07-17,55.06
2025-07-18,55.22
2025-07-19,55.51
2025-07-20,55.69
2025-07-21,55.91
2025-07-22,56.04
2025-07-23,56.23
2025-07-24,56.19
2025-07-25,56.13
2025-07-26,55.95
2025-07-27,55.81
2025-07-28,55.86
2025-07-29,56.11
2025-07-30,56.22
2025-07-31,56.21
2025-08-01,56.64
2025-08-02,56.6
2025-08-03,56.41
2025-08-04,56.62
2025-08-05,56.69
2025-08-06,56.73
2025-08-07,56.88
2025-08-08,56.79
2025-08-09,56.74
2025-08-10,56.69
2025-08-11,57.12
2025-08-12,57.39
2025-08-13,57.45
2025-08-14,57.41
2025-08-15,57.29
2025-08-16,57.23
2025-08-17,57.2
2025-08-18,57.16
2025-08-19,57.33
2025-08-20,57.42
2025-08-21,57.34
2025-08-22,57.49
2025-08-23,57.3
2025-08-24,57.44
2025-08-25,57.21
2025-08-26,57.16
2025-08-27,56.97
2025-08-28,57.07
2025-08-29,57.01
2025-08-30,57.02
2025-08-31,57.27
2025-09-01,57.08
2025-09-02,57.28
2025-09-03,57.93
2025-09-04,57.64
2025-09-05,57.93
2025-09-06,57.94
2025-09-07,58.18
2025-09-08,58.3
2025-09-09,58.26
2025-09-10,58.81
2025-09-11,58.73
2025-09-12,58.57
2025-09-13,58.34
2025-09-14,58.34
2025-09-15,58.34
2025-09-16,58.39
2025-09-17,58.75
2025-09-18,58.9
2025-09-19,58.93
2025-09-20,58.99
2025-09-21,59.11
2025-09-22,59.44
2025-09-23,59.5
2025-09-24,59.65
2025-09-25,59.76
2025-09-26,59.66
2025-09-27,59.27
2025-09-28,59.34
2025-09-29,59.49
2025-09-30,59.55
2025-10-01,59.59
2025-10-02,59.6
2025-10-03,59.71
2025-10-04,59.92
2025-10-05,59.93
2025-10-06,59.98
2025-10-07,59.78
2025-10-08,59.84
2025-10-09,59.81
2025-10-10,59.7
2025-10-11,59.75
2025-10-12,59.72
2025-10-13,59.65
2025-10-14,59.66
2025-10-15,59.56
2025-10-16,59.66
2025-10-17,59.52
2025-10-18,59.51
2025-10-19,59.6
2025-10-20,59.71
2025-10-21,59.71
2025-10-22,59.65
2025-10-23,59.83
2025-10-24,59.73
2025-10-25,59.46
2025-10-26,58.25
2025-10-27,58.3
2025-10-28,58.45
2025-10-29,58.36
2025-10-30,58.27
2025-10-31,58.22
2025-11-01,58.07
2025-11-02,57.89
2025-11-03,57.92
2025-11-04,57.56
2025-11-05,57.66
2025-11-06,56.66
2025-11-07,56.39
2025-11-08,56.45
2025-11-09,56.5
2025-11-10,56.59
2025-11-11,56.59
2025-11-12,56.74
2025-11-13,56.7
2025-11-14,56.79
2025-11-15,56.69
2025-11-16,56.8
2025-11-17,56.7
2025-11-18,57.1
2025-11-19,57.23
2025-11-20,57.17
2025-11-21,56.93
2025-11-22,56.8
2025-11-23,56.7
2025-11-24,56.55
2025-11-25,56.53
2025-11-26,56.29
2025-11-27,56.4
2025-11-28,56.48
2025-11-29,56.65
2025-11-30,56.71
2025-12-01,56.65
2025-12-02,56.47
2025-12-03,56.51
2025-12-04,56.61
2025-12-05,56.71
2025-12-06,56.62
2025-12-07,56.54
2025-12-08,56.33
2025-12-09,56.53
2025-12-10,56.8
2025-12-11,57.11
2025-12-12,57.22
2025-12-13,57.22
2025-12-14,57.17
2025-12-15,57.23
2025-12-16,57.47
2025-12-17,57.31
2025-12-18,57.59
2025-12-19,57.43
2025-12-20,57.34
2025-12-21,57.59
2025-12-22,56.56
2025-12-23,56.08
2025-12-24,56.61
2025-12-25,56.6
2025-12-26,56.65
2025-12-27,56.72
2025-12-28,56.94
2025-12-29,57.11
2025-12-30,57.16
2025-12-31,58.65
2026-01-01,58.4
2026-01-02,58.19
2026-01-03,58.71
2026-01-04,58.91
2026-01-05,59.09
2026-01-06,59.12
2026-01-07,59.49
2026-01-08,59.48
2026-01-09,59.73
2026-01-10,59.93
2026-01-11,59.95
2026-01-12,59.93
2026-01-13,61.52
2026-01-14,61.47
2026-01-15,61.53
2026-01-16,61.69
2026-01-17,61.6
2026-01-18,61.56
2026-01-19,61.7
2026-01-20,61.91
2026-01-21,62.03
2026-01-22,62.04
2026-01-23,62.44
2026-01-24,62.49
2026-01-25,62.47
2026-01-26,62.43
2026-01-27,62.62
2026-01-28,63.11
2026-01-29,63.17
2026-01-30,63.17
2026-01-31,63.27
2026-02-01,63.15
2026-02-02,63.22
2026-02-03,63.31
2026-02-04,63.12
2026-02-05,63.14
2026-02-06,63.14
2026-02-07,63.13
2026-02-08,62.98
2026-02-09,63.04
2026-02-10,63.14
2026-02-11,62.89
2026-02-12,62.92
2026-02-13,62.96
2026-02-14,62.99
2026-02-15,63.04
2026-02-16,63.25
2026-02-17,63.2
