date,price
2025-11-08,50.96
2025-11-09,59.55
2025-11-10,53.63
2025-11-11,54.7
2025-11-12,52.07
2025-11-13,51.66
2025-11-14,52.69
2025-11-15,52.7
2025-11-16,52.98
2025-11-17,53.1
2025-11-18,53.17
2025-11-19,53.77
2025-11-20,55.15
2025-11-21,56.21
2025-11-22,55.43
2025-11-23,55.89
2025-11-24,56.66
2025-11-25,56.72
2025-11-26,56.77
2025-11-27,58.66
2025-11-28,58.49
2025-11-29,58.76
2025-11-30,58.46
2025-12-01,61.39
2025-12-02,62.38
2025-12-03,63.09
2025-12-04,63.26
2025-12-05,63.28
2025-12-06,63.0
2025-12-07,62.95
2025-12-08,62.8
2025-12-09,63.19
2025-12-10,63.21
2025-12-11,63.38
2025-12-12,63.67
2025-12-13,64.29
2025-12-14,64.28
2025-12-15,64.22
2025-12-16,64.4
2025-12-17,65.64
2025-12-18,67.18
2025-12-19,67.35
2025-12-20,67.6
2025-12-21,67.9
2025-12-22,68.26
2025-12-23,68.75
2025-12-24,68.95
2025-12-25,69.0
2025-12-26,68.5
2025-12-27,68.75
2025-12-28,69.11
2025-12-29,69.31
2025-12-30,69.41
2025-12-31,69.56
2026-01-01,69.58
2026-01-02,69.78
2026-01-03,69.59
2026-01-04,69.67
2026-01-05,69.51
2026-01-06,69.67
2026-01-07,69.61
2026-01-08,69.62
2026-01-09,69.83
2026-01-10,69.88
2026-01-11,69.84
2026-01-12,70.02
2026-01-13,70.35
2026-01-14,70.19
2026-01-15,70.2
2026-01-16,70.07
2026-01-17,69.96
2026-01-18,69.91
2026-01-19,69.96
2026-01-20,69.98
2026-01-21,69.87
2026-01-22,69.89
2026-01-23,70.2
2026-01-24,69.61
2026-01-25,69.56
2026-01-26,69.39
2026-01-27,69.82
2026-01-28,69.91
2026-01-29,70.01
2026-01-30,70.34
2026-01-31,72.2
2026-02-01,73.06
2026-02-02,73.02
2026-02-03,73.53
2026-02-04,73.3
2026-02-05,74.31
2026-02-06,74.31
2026-02-07,74.21
2026-02-08,74.18
2026-02-09,73.72
2026-02-10,73.33
2026-02-11,73.17
2026-02-12,73.69
2026-02-13,73.88
2026-02-14,73.88
2026-02-15,73.96
2026-02-16,74.31
2026-02-17,74.59
2026-02-18,74.5
2026-02-19,75.25
2026-02-20,74.7
2026-02-21,74.2
2026-02-22,74.3
2026-02-23,74.14
2026-02-24,74.34
2026-02-25,74.56
2026-02-26,74.91
2026-02-27,75.51
2026-02-28,75.56
2026-03-01,75.54
2026-03-02,75.77
