date,price
2025-03-03,33.05
2025-03-04,32.93
2025-03-05,32.8
2025-03-06,32.71
2025-03-07,32.68
2025-03-08,32.72
2025-03-09,32.59
2025-03-10,32.45
2025-03-11,32.36
2025-03-12,32.19
2025-03-13,32.03
2025-03-14,32.0
2025-03-15,31.96
2025-03-16,31.9
2025-03-17,31.96
2025-03-18,31.96
2025-03-19,31.87
2025-03-20,31.83
2025-03-21,31.37
2025-03-22,30.79
2025-03-23,30.49
2025-03-24,30.4
2025-03-25,30.21
2025-03-26,30.22
2025-03-27,30.01
2025-03-28,29.97
2025-03-29,30.16
2025-03-30,30.06
2025-03-31,30.0
2025-04-01,30.06
2025-04-02,30.02
2025-04-03,30.15
2025-04-04,30.21
2025-04-05,30.37
2025-04-06,30.07
2025-04-07,30.06
2025-04-08,30.06
2025-04-09,30.22
2025-04-10,30.23
2025-04-11,30.17
2025-04-12,30.21
2025-04-13,30.26
2025-04-14,29.83
2025-04-15,29.82
2025-04-16,29.79
2025-04-17,29.76
2025-04-18,29.73
2025-04-19,29.56
2025-04-20,29.53
2025-04-21,29.56
2025-04-22,29.48
2025-04-23,29.41
2025-04-24,29.68
2025-04-25,29.68
2025-04-26,29.62
2025-04-27,29.54
2025-04-28,29.53
2025-04-29,29.55
2025-04-30,29.13
2025-05-01,29.15
2025-05-02,29.15
2025-05-03,29.13
2025-05-04,28.82
2025-05-05,28.75
2025-05-06,28.62
2025-05-07,28.58
2025-05-08,31.49
2025-05-09,31.1
2025-05-10,31.88
2025-05-11,32.2
2025-05-12,32.42
2025-05-13,32.63
2025-05-14,32.6
2025-05-15,32.85
2025-05-16,33.49
2025-05-17,33.79
2025-05-18,33.86
2025-05-19,34.94
2025-05-20,35.29
2025-05-21,35.36
2025-05-22,36.28
2025-05-23,36.53
2025-05-24,36.86
2025-05-25,36.62
2025-05-26,36.85
2025-05-27,36.86
2025-05-28,36.85
2025-05-29,36.96
2025-05-30,36.86
2025-05-31,36.89
2025-06-01,36.92
2025-06-02,36.88
2025-06-03,36.79
2025-06-04,36.91
2025-06-05,36.93
2025-06-06,36.96
2025-06-07,36.87
2025-06-08,37.0
2025-06-09,37.28
2025-06-10,37.58
2025-06-11,37.58
2025-06-12,37.52
2025-06-13,37.53
2025-06-14,37.43
2025-06-15,37.6
2025-06-16,37.76
2025-06-17,37.85
2025-06-18,37.76
2025-06-19,37.79
2025-06-20,37.75
2025-06-21,37.78
2025-06-22,37.79
2025-06-23,37.87
2025-06-24,37.91
2025-06-25,37.82
2025-06-26,37.85
2025-06-27,37.89
2025-06-28,37.82
2025-06-29,37.85
2025-06-30,37.92
2025-07-01,38.06
2025-07-02,37.9
2025-07-03,37.86
2025-07-04,38.07
2025-07-05,38.0
2025-07-06,38.06
2025-07-07,38.1
2025-07-08,38.13
2025-07-09,38.42
2025-07-10,38.46
2025-07-11,38.43
2025-07-12,38.25
2025-07-13,38.22
2025-07-14,38.25
2025-07-15,38.13
2025-07-16,38.08
2025-07-17,38.06
2025-07-18,37.97
2025-07-19,37.97
2025-07-20,37.87
2025-07-21,37.81
2025-07-22,38.02
2025-07-23,38.33
2025-07-24,38.3
2025-07-25,38.26
2025-07-26,38.24
2025-07-27,38.06
2025-07-28,37.9
2025-07-29,37.75
2025-07-30,38.08
2025-07-31,37.96
2025-08-01,38.32
2025-08-02,38.39
2025-08-03,38.36
2025-08-04,38.33
2025-08-05,38.59
2025-08-06,38.69
2025-08-07,38.86
2025-08-08,39.01
2025-08-09,38.77
2025-08-10,38.78
2025-08-11,38.83
2025-08-12,38.8
2025-08-13,38.99
2025-08-14,39.12
2025-08-15,39.01
2025-08-16,38.91
2025-08-17,38.78
2025-08-18,38.94
2025-08-19,39.07
2025-08-20,38.95
2025-08-21,38.97
2025-08-22,38.9
2025-08-23,38.81
2025-08-24,38.54
2025-08-25,38.54
2025-08-26,38.55
2025-08-27,38.89
2025-08-28,39.21
2025-08-29,39.4
2025-08-30,39.44
2025-08-31,39.47
2025-09-01,39.47
2025-09-02,39.53
2025-09-03,39.46
2025-09-04,39.49
2025-09-05,39.33
2025-09-06,39.43
2025-09-07,39.53
2025-09-08,39.67
2025-09-09,39.6
2025-09-10,39.63
2025-09-11,39.52
2025-09-12,39.59
2025-09-13,39.64
2025-09-14,39.64
2025-09-15,39.58
2025-09-16,39.64
2025-09-17,39.9
2025-09-18,39.89
2025-09-19,40.05
2025-09-20,40.19
2025-09-21,40.37
2025-09-22,40.45
2025-09-23,40.3
2025-09-24,40.25
2025-09-25,40.41
2025-09-26,40.46
2025-09-27,40.34
2025-09-28,40.49
2025-09-29,40.39
2025-09-30,40.52
2025-10-01,40.66
2025-10-02,40.37
2025-10-03,40.5
2025-10-04,40.36
2025-10-05,40.22
2025-10-06,40.41
2025-10-07,40.36
2025-10-08,40.67
2025-10-09,40.63
2025-10-10,40.61
2025-10-11,40.78
2025-10-12,40.93
2025-10-13,40.88
2025-10-14,40.57
2025-10-15,40.42
2025-10-16,40.18
2025-10-17,40.64
2025-10-18,40.81
2025-10-19,40.97
2025-10-20,41.06
2025-10-21,41.01
2025-10-22,41.0
2025-10-23,41.04
2025-10-24,41.14
2025-10-25,41.19
2025-10-26,41.08
2025-10-27,41.28
2025-10-28,41.13
2025-10-29,41.14
2025-10-30,41.14
2025-10-31,41.1
2025-11-01,41.05
2025-11-02,40.95
2025-11-03,40.76
2025-11-04,40.91
2025-11-05,40.92
2025-11-06,40.92
2025-11-07,41.02
2025-11-08,40.87
2025-11-09,40.98
2025-11-10,40.96
2025-11-11,40.91
2025-11-12,41.06
2025-11-13,41.12
2025-11-14,41.02
2025-11-15,41.07
2025-11-16,41.02
2025-11-17,41.23
2025-11-18,41.05
2025-11-19,41.36
2025-11-20,41.38
2025-11-21,40.99
2025-11-22,40.73
2025-11-23,40.48
2025-11-24,40.28
2025-11-25,40.18
2025-11-26,40.04
2025-11-27,40.1
2025-11-28,40.15
2025-11-29,40.1
2025-11-30,40.2
2025-12-01,38.46
2025-12-02,38.7
2025-12-03,38.69
2025-12-04,38.5
2025-12-05,38.56
2025-12-06,38.51
2025-12-07,38.43
2025-12-08,38.06
2025-12-09,38.05
2025-12-10,38.18
2025-12-11,38.07
2025-12-12,38.03
2025-12-13,37.92
2025-12-14,37.97
2025-12-15,38.04
2025-12-16,38.03
2025-12-17,38.06
2025-12-18,38.19
2025-12-19,38.11
2025-12-20,38.3
2025-12-21,38.47
2025-12-22,38.71
2025-12-23,38.76
2025-12-24,38.73
2025-12-25,38.6
2025-12-26,38.63
2025-12-27,38.69
2025-12-28,38.72
2025-12-29,38.74
2025-12-30,38.74
2025-12-31,38.8
2026-01-01,39.18
2026-01-02,39.15
2026-01-03,38.96
2026-01-04,38.99
2026-01-05,38.9
2026-01-06,38.97
2026-01-07,39.01
2026-01-08,38.79
2026-01-09,38.78
2026-01-10,38.98
2026-01-11,39.05
2026-01-12,39.06
2026-01-13,38.95
2026-01-14,39.02
2026-01-15,38.85
2026-01-16,38.75
2026-01-17,38.62
2026-01-18,38.46
2026-01-19,38.26
2026-01-20,38.4
2026-01-21,38.77
2026-01-22,38.81
2026-01-23,38.67
