date,price
2025-03-04,56.8
2025-03-05,56.77
2025-03-06,56.83
2025-03-07,56.78
2025-03-08,56.63
2025-03-09,56.59
2025-03-10,56.44
2025-03-11,56.54
2025-03-12,56.59
2025-03-13,56.49
2025-03-14,56.44
2025-03-15,56.54
2025-03-16,56.45
2025-03-17,56.3
2025-03-18,56.36
2025-03-19,54.9
2025-03-20,55.2
2025-03-21,54.85
2025-03-22,54.7
2025-03-23,54.36
2025-03-24,53.97
2025-03-25,52.18
2025-03-26,52.13
2025-03-27,51.86
2025-03-28,51.74
2025-03-29,51.67
2025-03-30,51.66
2025-03-31,51.4
2025-04-01,51.54
2025-04-02,51.45
2025-04-03,51.35
2025-04-04,51.31
2025-04-05,51.06
2025-04-06,50.65
2025-04-07,50.8
2025-04-08,50.7
2025-04-09,50.78
2025-04-10,50.69
2025-04-11,50.34
2025-04-12,50.19
2025-04-13,50.14
2025-04-14,49.55
2025-04-15,49.53
2025-04-16,49.26
2025-04-17,49.47
2025-04-18,49.57
2025-04-19,49.79
2025-04-20,50.01
2025-04-21,50.0
2025-04-22,50.05
2025-04-23,49.9
2025-04-24,50.39
2025-04-25,50.18
2025-04-26,49.89
2025-04-27,47.94
2025-04-28,47.72
2025-04-29,47.49
2025-04-30,47.16
2025-05-01,46.99
2025-05-02,46.83
2025-05-03,46.72
2025-05-04,46.61
2025-05-05,46.56
2025-05-06,46.53
2025-05-07,46.78
2025-05-08,46.69
2025-05-09,46.75
2025-05-10,46.7
2025-05-11,47.1
2025-05-12,47.53
2025-05-13,48.01
2025-05-14,47.96
2025-05-15,47.97
2025-05-16,47.78
2025-05-17,47.79
2025-05-18,47.7
2025-05-19,47.95
2025-05-20,47.95
2025-05-21,47.95
2025-05-22,48.05
2025-05-23,47.9
2025-05-24,47.86
2025-05-25,47.9
2025-05-26,47.85
2025-05-27,47.8
2025-05-28,47.75
2025-05-29,47.6
2025-05-30,47.55
2025-05-31,46.78
2025-06-01,46.77
2025-06-02,46.48
2025-06-03,46.51
2025-06-04,46.51
2025-06-05,46.76
2025-06-06,46.71
2025-06-07,46.52
2025-06-08,46.52
2025-06-09,47.62
2025-06-10,47.19
