date,price
2025-05-03,60.78
2025-05-04,64.27
2025-05-05,63.66
2025-05-06,58.44
2025-05-07,59.95
2025-05-08,57.56
2025-05-09,57.8
2025-05-10,54.14
2025-05-11,51.16
2025-05-12,47.86
2025-05-13,48.08
2025-05-14,44.13
2025-05-15,42.66
2025-05-16,42.78
2025-05-17,42.23
2025-05-18,43.03
2025-05-19,42.54
2025-05-20,40.82
2025-05-21,40.71
2025-05-22,39.82
2025-05-23,39.75
2025-05-24,39.48
2025-05-25,39.28
2025-05-26,39.98
2025-05-27,40.44
2025-05-28,40.27
2025-05-29,40.14
2025-05-30,40.29
2025-05-31,39.74
2025-06-01,39.88
2025-06-02,39.64
2025-06-03,39.44
2025-06-04,39.29
2025-06-05,38.88
2025-06-06,38.93
2025-06-07,38.94
2025-06-08,38.8
2025-06-09,38.76
2025-06-10,38.52
2025-06-11,38.51
2025-06-12,38.36
2025-06-13,38.39
2025-06-14,38.24
2025-06-15,38.14
2025-06-16,38.14
2025-06-17,38.17
2025-06-18,38.33
2025-06-19,38.37
2025-06-20,38.5
2025-06-21,38.5
2025-06-22,38.78
2025-06-23,38.56
2025-06-24,38.58
2025-06-25,38.55
2025-06-26,38.55
2025-06-27,38.66
2025-06-28,39.2
2025-06-29,39.2
2025-06-30,39.07
2025-07-01,39.1
2025-07-02,39.2
2025-07-03,39.1
2025-07-04,39.03
2025-07-05,39.1
2025-07-06,39.13
2025-07-07,39.21
2025-07-08,39.35
2025-07-09,39.39
2025-07-10,39.36
2025-07-11,39.36
2025-07-12,39.39
2025-07-13,39.39
2025-07-14,39.36
2025-07-15,39.33
2025-07-16,39.37
2025-07-17,39.34
2025-07-18,39.37
2025-07-19,39.28
2025-07-20,39.26
2025-07-21,39.28
2025-07-22,39.26
2025-07-23,39.01
2025-07-24,39.15
2025-07-25,39.0
2025-07-26,38.74
2025-07-27,38.9
2025-07-28,38.83
2025-07-29,38.61
2025-07-30,38.88
2025-07-31,38.86
2025-08-01,38.73
2025-08-02,38.66
2025-08-03,38.59
2025-08-04,38.55
2025-08-05,38.48
2025-08-06,38.42
2025-08-07,38.64
2025-08-08,38.66
2025-08-09,38.49
2025-08-10,38.33
2025-08-11,38.17
2025-08-12,38.0
2025-08-13,38.03
2025-08-14,37.96
2025-08-15,37.99
2025-08-16,37.84
2025-08-17,37.62
2025-08-18,37.86
2025-08-19,37.8
2025-08-20,38.02
2025-08-21,37.99
2025-08-22,37.91
2025-08-23,37.89
2025-08-24,37.93
2025-08-25,37.9
2025-08-26,38.0
2025-08-27,37.97
2025-08-28,37.97
2025-08-29,37.97
2025-08-30,37.82
2025-08-31,37.89
2025-09-01,37.92
2025-09-02,37.88
2025-09-03,37.82
2025-09-04,37.82
2025-09-05,37.88
2025-09-06,37.8
2025-09-07,37.77
2025-09-08,37.94
2025-09-09,37.97
2025-09-10,38.38
2025-09-11,38.21
2025-09-12,38.1
2025-09-13,38.07
2025-09-14,38.01
2025-09-15,37.8
2025-09-16,37.76
2025-09-17,37.75
2025-09-18,37.72
2025-09-19,37.8
2025-09-20,37.74
2025-09-21,37.73
2025-09-22,37.6
2025-09-23,37.62
2025-09-24,37.68
2025-09-25,37.58
2025-09-26,37.48
2025-09-27,37.33
2025-09-28,37.07
2025-09-29,36.94
2025-09-30,36.78
2025-10-01,36.77
2025-10-02,36.9
2025-10-03,36.87
2025-10-04,36.79
2025-10-05,36.85
2025-10-06,36.86
2025-10-07,36.86
2025-10-08,37.03
2025-10-09,36.97
2025-10-10,37.03
2025-10-11,36.71
2025-10-12,36.72
2025-10-13,36.6
2025-10-14,36.44
2025-10-15,36.68
2025-10-16,36.57
2025-10-17,36.57
2025-10-18,36.59
2025-10-19,36.76
2025-10-20,36.64
2025-10-21,36.53
2025-10-22,36.52
2025-10-23,36.59
2025-10-24,36.56
2025-10-25,36.53
2025-10-26,36.53
2025-10-27,36.56
2025-10-28,36.59
2025-10-29,40.6
2025-10-30,42.91
2025-10-31,43.0
2025-11-01,42.9
2025-11-02,42.74
2025-11-03,42.55
2025-11-04,43.04
2025-11-05,42.95
2025-11-06,43.04
2025-11-07,43.15
2025-11-08,45.84
2025-11-09,46.01
2025-11-10,46.02
2025-11-11,46.33
2025-11-12,46.21
2025-11-13,46.12
2025-11-14,46.35
2025-11-15,46.15
2025-11-16,46.13
2025-11-17,46.26
2025-11-18,47.24
2025-11-19,47.34
2025-11-20,47.34
2025-11-21,47.52
2025-11-22,47.77
2025-11-23,47.57
2025-11-24,47.64
2025-11-25,47.8
2025-11-26,48.11
2025-11-27,48.22
2025-11-28,48.28
2025-11-29,48.53
2025-11-30,48.79
2025-12-01,49.93
2025-12-02,49.97
2025-12-03,49.69
2025-12-04,49.58
2025-12-05,49.53
2025-12-06,49.73
2025-12-07,49.95
2025-12-08,49.86
2025-12-09,49.87
2025-12-10,49.58
2025-12-11,49.63
2025-12-12,49.52
2025-12-13,49.73
2025-12-14,49.59
2025-12-15,49.89
