date,price
2025-05-10,81.12
2025-05-11,86.59
2025-05-12,88.25
2025-05-13,86.46
2025-05-14,87.52
2025-05-15,88.34
2025-05-16,91.32
2025-05-17,91.43
2025-05-18,92.42
2025-05-19,92.57
2025-05-20,93.64
2025-05-21,94.11
2025-05-22,95.99
2025-05-23,96.02
2025-05-24,97.82
2025-05-25,96.49
2025-05-26,97.34
2025-05-27,98.56
2025-05-28,98.77
2025-05-29,99.56
2025-05-30,101.94
2025-05-31,102.96
2025-06-01,104.14
2025-06-02,104.38
2025-06-03,104.52
2025-06-04,104.54
2025-06-05,104.74
2025-06-06,104.62
2025-06-07,104.09
2025-06-08,104.13
2025-06-09,104.46
2025-06-10,104.02
2025-06-11,104.98
2025-06-12,106.79
2025-06-13,107.26
2025-06-14,107.4
2025-06-15,107.64
2025-06-16,107.86
2025-06-17,107.88
2025-06-18,108.66
2025-06-19,108.63
2025-06-20,109.53
2025-06-21,109.9
2025-06-22,109.37
2025-06-23,110.33
2025-06-24,110.61
2025-06-25,110.65
2025-06-26,112.93
2025-06-27,112.71
2025-06-28,112.83
2025-06-29,112.49
2025-06-30,112.6
2025-07-01,112.43
2025-07-02,112.66
2025-07-03,112.56
2025-07-04,112.91
2025-07-05,113.77
2025-07-06,114.11
2025-07-07,113.78
2025-07-08,114.25
2025-07-09,114.69
2025-07-10,115.57
2025-07-11,115.43
2025-07-12,115.52
2025-07-13,115.91
2025-07-14,116.73
2025-07-15,116.97
2025-07-16,116.83
2025-07-17,116.75
2025-07-18,117.58
2025-07-19,118.24
2025-07-20,117.88
2025-07-21,119.53
2025-07-22,119.52
2025-07-23,119.78
2025-07-24,119.15
2025-07-25,118.81
2025-07-26,118.8
2025-07-27,121.43
2025-07-28,122.37
2025-07-29,122.39
2025-07-30,122.29
2025-07-31,121.84
2025-08-01,121.37
2025-08-02,121.27
2025-08-03,121.07
2025-08-04,121.45
2025-08-05,121.35
2025-08-06,121.67
2025-08-07,121.34
2025-08-08,121.45
2025-08-09,121.67
2025-08-10,121.69
2025-08-11,121.29
2025-08-12,121.21
2025-08-13,121.33
2025-08-14,120.66
2025-08-15,121.04
2025-08-16,121.21
2025-08-17,120.97
2025-08-18,121.01
2025-08-19,120.68
2025-08-20,120.55
2025-08-21,120.99
2025-08-22,120.45
2025-08-23,119.8
2025-08-24,119.62
2025-08-25,119.5
2025-08-26,119.62
2025-08-27,118.31
2025-08-28,115.32
2025-08-29,115.43
2025-08-30,117.63
2025-08-31,118.85
2025-09-01,119.72
2025-09-02,119.14
2025-09-03,120.52
2025-09-04,120.67
2025-09-05,120.74
2025-09-06,120.72
2025-09-07,120.44
2025-09-08,120.71
2025-09-09,120.84
2025-09-10,121.27
2025-09-11,120.85
2025-09-12,121.12
2025-09-13,121.1
2025-09-14,121.05
2025-09-15,120.71
2025-09-16,120.93
2025-09-17,121.15
2025-09-18,121.36
2025-09-19,121.15
2025-09-20,121.03
2025-09-21,120.26
2025-09-22,120.03
2025-09-23,119.8
2025-09-24,120.18
2025-09-25,120.4
2025-09-26,120.18
2025-09-27,120.32
2025-09-28,120.33
2025-09-29,120.42
2025-09-30,120.3
2025-10-01,120.3
2025-10-02,120.53
2025-10-03,120.31
2025-10-04,119.86
2025-10-05,118.91
2025-10-06,118.02
2025-10-07,118.02
2025-10-08,118.36
2025-10-09,118.48
2025-10-10,117.93
2025-10-11,117.13
2025-10-12,117.07
2025-10-13,116.53
2025-10-14,116.31
2025-10-15,115.4
2025-10-16,115.4
2025-10-17,115.29
2025-10-18,114.45
2025-10-19,114.37
2025-10-20,113.74
2025-10-21,112.93
2025-10-22,112.52
2025-10-23,113.31
2025-10-24,113.65
2025-10-25,113.07
2025-10-26,113.29
2025-10-27,112.62
2025-10-28,111.88
2025-10-29,111.73
2025-10-30,111.51
2025-10-31,111.65
2025-11-01,112.2
2025-11-02,112.31
2025-11-03,112.66
2025-11-04,112.44
2025-11-05,112.0
2025-11-06,111.67
2025-11-07,111.55
2025-11-08,111.0
2025-11-09,110.76
2025-11-10,111.08
