date,price
2025-03-03,125.43
2025-03-04,125.68
2025-03-05,126.34
2025-03-06,127.28
2025-03-07,127.11
2025-03-08,127.99
2025-03-09,128.0
2025-03-10,127.94
2025-03-11,127.71
2025-03-12,128.81
2025-03-13,128.81
2025-03-14,128.81
2025-03-15,128.37
2025-03-16,128.47
2025-03-17,128.03
2025-03-18,127.81
2025-03-19,127.47
2025-03-20,128.14
2025-03-21,127.82
2025-03-22,126.94
2025-03-23,126.99
2025-03-24,127.97
2025-03-25,127.9
2025-03-26,128.52
2025-03-27,129.17
2025-03-28,129.19
2025-03-29,129.3
2025-03-30,129.49
2025-03-31,129.6
2025-04-01,130.21
2025-04-02,132.08
2025-04-03,132.92
2025-04-04,133.92
2025-04-05,134.23
2025-04-06,134.17
2025-04-07,133.84
2025-04-08,133.52
2025-04-09,134.54
2025-04-10,135.79
2025-04-11,136.12
2025-04-12,135.99
2025-04-13,135.99
2025-04-14,135.94
2025-04-15,135.56
2025-04-16,135.55
2025-04-17,136.2
2025-04-18,135.98
2025-04-19,136.35
2025-04-20,135.91
2025-04-21,135.79
2025-04-22,135.46
2025-04-23,136.77
2025-04-24,136.63
2025-04-25,137.35
2025-04-26,138.11
2025-04-27,137.93
2025-04-28,138.74
2025-04-29,138.97
2025-04-30,138.65
2025-05-01,138.53
2025-05-02,138.75
2025-05-03,138.22
2025-05-04,138.0
2025-05-05,137.76
2025-05-06,137.87
2025-05-07,137.98
2025-05-08,137.32
2025-05-09,137.54
2025-05-10,137.98
2025-05-11,138.2
2025-05-12,138.37
2025-05-13,139.04
2025-05-14,139.5
2025-05-15,140.06
2025-05-16,139.89
2025-05-17,140.55
2025-05-18,141.56
2025-05-19,142.43
2025-05-20,143.54
2025-05-21,144.19
2025-05-22,143.58
2025-05-23,143.26
2025-05-24,143.59
2025-05-25,144.47
2025-05-26,144.82
2025-05-27,144.48
2025-05-28,144.59
2025-05-29,144.58
2025-05-30,144.25
2025-05-31,142.79
2025-06-01,142.24
2025-06-02,142.57
2025-06-03,142.58
2025-06-04,142.88
2025-06-05,142.88
2025-06-06,142.77
2025-06-07,142.47
2025-06-08,142.8
2025-06-09,144.25
2025-06-10,143.63
2025-06-11,143.76
2025-06-12,144.17
2025-06-13,144.05
2025-06-14,144.07
2025-06-15,143.66
2025-06-16,144.16
2025-06-17,145.05
2025-06-18,145.19
2025-06-19,145.65
2025-06-20,146.08
2025-06-21,145.65
2025-06-22,147.51
2025-06-23,147.95
2025-06-24,147.84
2025-06-25,148.16
2025-06-26,148.48
2025-06-27,148.44
2025-06-28,147.78
2025-06-29,148.1
2025-06-30,147.88
2025-07-01,148.24
2025-07-02,148.59
2025-07-03,148.87
2025-07-04,149.52
2025-07-05,149.63
2025-07-06,150.36
2025-07-07,150.65
2025-07-08,150.61
2025-07-09,150.67
2025-07-10,150.44
2025-07-11,151.57
2025-07-12,151.88
2025-07-13,151.64
2025-07-14,151.97
2025-07-15,151.77
2025-07-16,151.67
2025-07-17,151.68
2025-07-18,151.68
2025-07-19,151.58
2025-07-20,151.68
2025-07-21,151.37
2025-07-22,151.24
2025-07-23,150.83
2025-07-24,150.56
2025-07-25,150.67
2025-07-26,150.42
2025-07-27,150.13
2025-07-28,149.86
2025-07-29,149.53
2025-07-30,149.53
2025-07-31,150.07
2025-08-01,150.04
2025-08-02,150.08
2025-08-03,150.21
2025-08-04,150.1
2025-08-05,150.41
2025-08-06,151.28
2025-08-07,151.37
2025-08-08,150.9
2025-08-09,150.1
2025-08-10,150.25
2025-08-11,150.13
2025-08-12,149.58
2025-08-13,150.4
2025-08-14,150.19
2025-08-15,150.9
2025-08-16,150.99
2025-08-17,151.01
2025-08-18,150.57
2025-08-19,150.13
2025-08-20,150.69
2025-08-21,150.58
2025-08-22,150.58
2025-08-23,150.42
2025-08-24,149.87
2025-08-25,150.2
2025-08-26,150.53
2025-08-27,150.26
2025-08-28,150.47
2025-08-29,150.38
2025-08-30,150.29
2025-08-31,150.07
2025-09-01,150.62
2025-09-02,150.39
2025-09-03,150.61
2025-09-04,151.99
2025-09-05,151.56
2025-09-06,151.55
2025-09-07,152.1
2025-09-08,152.09
2025-09-09,152.43
2025-09-10,153.63
2025-09-11,153.66
2025-09-12,153.5
2025-09-13,153.52
2025-09-14,153.74
2025-09-15,154.61
2025-09-16,155.01
2025-09-17,155.68
2025-09-18,155.34
2025-09-19,155.45
2025-09-20,155.13
2025-09-21,155.36
2025-09-22,155.02
2025-09-23,154.47
2025-09-24,153.91
2025-09-25,154.08
2025-09-26,154.09
2025-09-27,155.1
2025-09-28,155.11
2025-09-29,155.21
2025-09-30,154.86
2025-10-01,155.52
2025-10-02,155.63
2025-10-03,155.4
2025-10-04,155.51
2025-10-05,155.41
2025-10-06,155.18
2025-10-07,155.27
2025-10-08,155.49
2025-10-09,155.82
2025-10-10,155.96
2025-10-11,155.85
2025-10-12,155.74
2025-10-13,155.75
2025-10-14,156.08
2025-10-15,156.3
2025-10-16,155.75
2025-10-17,155.42
2025-10-18,154.97
2025-10-19,155.0
2025-10-20,155.11
2025-10-21,155.33
2025-10-22,156.33
2025-10-23,156.22
2025-10-24,155.89
2025-10-25,156.22
2025-10-26,156.11
2025-10-27,156.45
2025-10-28,156.75
2025-10-29,156.23
2025-10-30,156.01
2025-10-31,156.69
2025-11-01,156.8
2025-11-02,156.82
2025-11-03,157.37
2025-11-04,157.7
2025-11-05,157.81
2025-11-06,157.27
2025-11-07,157.7
2025-11-08,157.15
2025-11-09,156.78
2025-11-10,156.68
2025-11-11,156.07
2025-11-12,156.55
