date,price
2025-03-04,117.37
2025-03-05,116.93
2025-03-06,116.83
2025-03-07,116.5
2025-03-08,115.89
2025-03-09,115.12
2025-03-10,114.3
2025-03-11,113.85
2025-03-12,112.35
2025-03-13,112.13
2025-03-14,111.8
2025-03-15,111.85
2025-03-16,111.42
2025-03-17,111.31
2025-03-18,110.78
2025-03-19,111.0
2025-03-20,111.66
2025-03-21,111.78
2025-03-22,111.9
2025-03-23,112.85
2025-03-24,115.04
2025-03-25,114.03
2025-03-26,114.6
2025-03-27,114.44
2025-03-28,115.29
2025-03-29,115.4
2025-03-30,115.25
2025-03-31,115.41
2025-04-01,115.62
2025-04-02,115.13
2025-04-03,115.03
2025-04-04,114.92
2025-04-05,115.14
2025-04-06,115.59
2025-04-07,117.13
2025-04-08,118.25
2025-04-09,118.57
2025-04-10,118.13
2025-04-11,118.46
2025-04-12,118.49
2025-04-13,118.16
2025-04-14,118.16
2025-04-15,120.7
2025-04-16,120.47
2025-04-17,120.79
2025-04-18,121.02
2025-04-19,121.23
2025-04-20,121.74
2025-04-21,121.94
2025-04-22,121.81
2025-04-23,120.98
2025-04-24,120.85
2025-04-25,120.65
2025-04-26,120.54
2025-04-27,120.19
2025-04-28,121.07
2025-04-29,121.45
2025-04-30,121.13
2025-05-01,120.91
2025-05-02,120.69
2025-05-03,120.57
2025-05-04,120.34
2025-05-05,120.72
2025-05-06,120.6
2025-05-07,121.39
2025-05-08,121.61
2025-05-09,121.62
2025-05-10,121.84
2025-05-11,121.73
2025-05-12,121.39
2025-05-13,121.51
2025-05-14,121.54
2025-05-15,122.21
2025-05-16,122.65
2025-05-17,122.53
2025-05-18,122.2
2025-05-19,122.68
2025-05-20,122.58
2025-05-21,122.58
2025-05-22,122.46
2025-05-23,123.5
2025-05-24,123.7
2025-05-25,123.73
2025-05-26,124.79
2025-05-27,124.39
2025-05-28,124.71
2025-05-29,123.92
2025-05-30,123.79
2025-05-31,123.81
2025-06-01,123.69
2025-06-02,123.37
2025-06-03,123.15
2025-06-04,123.37
2025-06-05,123.04
2025-06-06,122.93
2025-06-07,122.96
2025-06-08,122.98
2025-06-09,122.96
2025-06-10,122.53
2025-06-11,122.54
2025-06-12,121.91
2025-06-13,122.35
2025-06-14,122.37
2025-06-15,122.37
2025-06-16,122.59
2025-06-17,122.16
2025-06-18,121.8
2025-06-19,121.56
2025-06-20,122.43
2025-06-21,122.21
2025-06-22,122.92
2025-06-23,123.47
2025-06-24,123.14
2025-06-25,122.92
2025-06-26,122.69
2025-06-27,122.8
2025-06-28,123.01
2025-06-29,123.39
2025-06-30,123.39
2025-07-01,123.08
2025-07-02,123.22
2025-07-03,123.1
2025-07-04,123.52
2025-07-05,122.75
2025-07-06,123.71
2025-07-07,123.76
2025-07-08,124.11
2025-07-09,123.9
2025-07-10,123.84
2025-07-11,123.86
2025-07-12,123.96
2025-07-13,123.88
2025-07-14,123.99
2025-07-15,123.77
2025-07-16,128.27
2025-07-17,131.69
2025-07-18,134.24
2025-07-19,134.23
2025-07-20,133.58
2025-07-21,133.7
2025-07-22,134.01
2025-07-23,135.21
2025-07-24,136.13
2025-07-25,136.41
2025-07-26,135.47
2025-07-27,134.98
2025-07-28,134.9
2025-07-29,135.04
2025-07-30,135.59
2025-07-31,135.22
2025-08-01,135.57
2025-08-02,135.35
2025-08-03,135.71
2025-08-04,135.53
2025-08-05,135.59
2025-08-06,135.81
2025-08-07,136.36
2025-08-08,137.46
2025-08-09,137.24
2025-08-10,137.06
2025-08-11,136.83
2025-08-12,136.7
2025-08-13,136.58
2025-08-14,136.7
2025-08-15,137.16
2025-08-16,137.05
2025-08-17,137.43
2025-08-18,136.34
2025-08-19,138.19
2025-08-20,138.06
2025-08-21,137.72
2025-08-22,137.99
2025-08-23,137.55
