date,price
2026-01-10,38.54
2026-01-11,45.46
2026-01-12,42.28
2026-01-13,42.12
2026-01-14,40.05
2026-01-15,41.07
2026-01-16,39.28
2026-01-17,39.42
2026-01-18,39.56
2026-01-19,39.43
2026-01-20,39.83
2026-01-21,39.62
2026-01-22,39.77
2026-01-23,40.55
2026-01-24,41.95
2026-01-25,43.57
2026-01-26,43.86
2026-01-27,44.27
2026-01-28,45.5
2026-01-29,45.56
2026-01-30,46.34
2026-01-31,47.7
2026-02-01,47.79
2026-02-02,48.01
2026-02-03,47.87
2026-02-04,47.76
2026-02-05,48.08
2026-02-06,48.47
2026-02-07,48.86
2026-02-08,48.92
2026-02-09,48.99
2026-02-10,48.9
2026-02-11,48.73
2026-02-12,48.58
2026-02-13,48.62
2026-02-14,48.57
2026-02-15,48.54
2026-02-16,48.43
2026-02-17,48.51
2026-02-18,48.56
2026-02-19,48.93
2026-02-20,48.95
2026-02-21,49.07
2026-02-22,49.33
2026-02-23,49.28
2026-02-24,49.22
2026-02-25,49.06
2026-02-26,49.21
2026-02-27,49.09
2026-02-28,49.05
2026-03-01,48.93
2026-03-02,48.86
