date,price
2025-03-04,391.06
2025-03-05,392.06
2025-03-06,393.24
2025-03-07,392.24
2025-03-08,393.24
2025-03-09,393.5
2025-03-10,393.5
2025-03-11,393.99
2025-03-12,393.67
2025-03-13,394.42
2025-03-14,395.23
2025-03-15,394.85
2025-03-16,395.11
2025-03-17,395.36
2025-03-18,395.4
2025-03-19,395.13
2025-03-20,395.88
2025-03-21,395.88
2025-03-22,396.85
2025-03-23,396.63
2025-03-24,395.88
2025-03-25,396.39
2025-03-26,395.4
2025-03-27,395.92
2025-03-28,398.19
2025-03-29,398.2
2025-03-30,398.95
2025-03-31,399.28
2025-04-01,393.63
2025-04-02,393.86
2025-04-03,393.63
2025-04-04,392.41
2025-04-05,391.61
2025-04-06,391.49
2025-04-07,391.5
2025-04-08,392.43
2025-04-09,393.49
2025-04-10,394.53
2025-04-11,396.03
2025-04-12,395.87
2025-04-13,395.05
2025-04-14,396.66
2025-04-15,399.95
2025-04-16,400.28
2025-04-17,399.54
2025-04-18,399.49
2025-04-19,401.14
2025-04-20,401.38
2025-04-21,402.15
2025-04-22,402.46
2025-04-23,402.45
2025-04-24,403.59
2025-04-25,403.39
2025-04-26,402.89
2025-04-27,402.95
2025-04-28,403.45
2025-04-29,402.79
2025-04-30,402.59
2025-05-01,402.11
2025-05-02,401.87
2025-05-03,402.34
2025-05-04,402.4
2025-05-05,402.16
2025-05-06,403.41
2025-05-07,403.91
2025-05-08,404.44
2025-05-09,404.87
2025-05-10,403.8
2025-05-11,403.3
2025-05-12,403.3
2025-05-13,404.58
2025-05-14,405.08
2025-05-15,404.86
2025-05-16,403.85
2025-05-17,404.2
2025-05-18,404.32
2025-05-19,404.07
2025-05-20,403.64
2025-05-21,403.17
2025-05-22,403.92
2025-05-23,403.69
2025-05-24,403.45
2025-05-25,403.23
2025-05-26,403.52
2025-05-27,408.03
2025-05-28,409.55
2025-05-29,408.8
2025-05-30,407.56
2025-05-31,407.84
2025-06-01,408.09
2025-06-02,407.09
2025-06-03,406.89
2025-06-04,407.38
2025-06-05,406.36
2025-06-06,406.12
2025-06-07,405.58
2025-06-08,405.58
2025-06-09,405.09
2025-06-10,404.67
2025-06-11,406.69
2025-06-12,406.68
2025-06-13,406.95
2025-06-14,405.96
2025-06-15,407.25
2025-06-16,408.13
2025-06-17,408.16
2025-06-18,408.67
2025-06-19,408.82
2025-06-20,409.95
2025-06-21,409.46
2025-06-22,410.46
2025-06-23,411.01
2025-06-24,411.78
2025-06-25,411.85
2025-06-26,410.89
2025-06-27,410.63
2025-06-28,412.61
2025-06-29,414.02
2025-06-30,414.02
2025-07-01,416.65
2025-07-02,418.08
2025-07-03,418.03
2025-07-04,420.89
2025-07-05,420.64
2025-07-06,420.64
2025-07-07,421.68
2025-07-08,423.36
2025-07-09,423.43
2025-07-10,427.16
2025-07-11,430.4
2025-07-12,430.2
