date,price
2025-03-03,90.03
2025-03-04,89.37
2025-03-05,89.51
2025-03-06,89.42
2025-03-07,89.17
2025-03-08,90.01
2025-03-09,89.94
2025-03-10,89.69
2025-03-11,89.77
2025-03-12,89.61
2025-03-13,89.92
2025-03-14,89.92
2025-03-15,90.16
2025-03-16,91.04
2025-03-17,91.37
2025-03-18,91.39
2025-03-19,91.39
2025-03-20,91.13
2025-03-21,92.14
2025-03-22,92.73
2025-03-23,92.65
2025-03-24,92.73
2025-03-25,92.72
2025-03-26,93.12
2025-03-27,93.13
2025-03-28,93.14
2025-03-29,93.36
2025-03-30,93.11
2025-03-31,93.19
2025-04-01,92.61
2025-04-02,90.13
2025-04-03,89.0
2025-04-04,88.92
2025-04-05,89.21
2025-04-06,90.69
2025-04-07,90.41
2025-04-08,90.88
2025-04-09,90.57
2025-04-10,90.26
2025-04-11,90.33
2025-04-12,90.35
2025-04-13,90.37
2025-04-14,91.07
2025-04-15,91.52
2025-04-16,91.75
2025-04-17,92.7
2025-04-18,92.65
2025-04-19,92.58
2025-04-20,94.12
2025-04-21,95.3
2025-04-22,95.39
2025-04-23,95.39
2025-04-24,95.43
2025-04-25,95.56
2025-04-26,96.44
2025-04-27,97.26
2025-04-28,98.57
2025-04-29,98.74
2025-04-30,98.74
2025-05-01,98.66
2025-05-02,98.15
2025-05-03,98.03
2025-05-04,98.35
2025-05-05,98.35
2025-05-06,98.23
2025-05-07,97.85
2025-05-08,97.9
2025-05-09,97.98
2025-05-10,98.15
2025-05-11,98.0
2025-05-12,97.93
2025-05-13,98.02
2025-05-14,97.62
2025-05-15,97.68
2025-05-16,98.25
2025-05-17,98.34
2025-05-18,98.27
2025-05-19,98.36
2025-05-20,98.52
2025-05-21,98.52
2025-05-22,95.73
2025-05-23,94.32
2025-05-24,94.14
2025-05-25,94.9
2025-05-26,94.26
2025-05-27,94.37
2025-05-28,94.16
2025-05-29,93.23
2025-05-30,92.59
2025-05-31,92.44
2025-06-01,92.23
2025-06-02,92.06
2025-06-03,91.65
2025-06-04,91.69
2025-06-05,92.18
2025-06-06,91.81
2025-06-07,93.17
2025-06-08,92.92
2025-06-09,93.57
