date,price
2025-03-03,45.97
2025-03-04,45.78
2025-03-05,45.97
2025-03-06,45.97
2025-03-07,45.87
2025-03-08,46.07
2025-03-09,46.22
2025-03-10,46.16
2025-03-11,46.2
2025-03-12,46.3
2025-03-13,46.25
2025-03-14,46.19
2025-03-15,46.14
2025-03-16,45.99
2025-03-17,46.9
2025-03-18,46.91
2025-03-19,46.53
2025-03-20,46.48
2025-03-21,46.44
2025-03-22,46.29
2025-03-23,46.44
2025-03-24,46.53
2025-03-25,46.65
2025-03-26,46.17
2025-03-27,45.81
2025-03-28,45.62
2025-03-29,45.56
2025-03-30,45.51
2025-03-31,45.6
2025-04-01,45.46
2025-04-02,45.51
2025-04-03,45.61
2025-04-04,45.58
2025-04-05,45.73
2025-04-06,45.57
2025-04-07,45.68
2025-04-08,45.9
2025-04-09,45.9
2025-04-10,46.38
2025-04-11,46.42
2025-04-12,46.42
2025-04-13,46.27
2025-04-14,46.27
2025-04-15,46.07
2025-04-16,46.08
2025-04-17,45.92
2025-04-18,45.78
2025-04-19,46.22
2025-04-20,46.39
2025-04-21,46.35
2025-04-22,46.29
2025-04-23,46.58
2025-04-24,46.7
2025-04-25,46.63
2025-04-26,46.59
2025-04-27,46.69
2025-04-28,46.61
2025-04-29,46.41
2025-04-30,46.17
2025-05-01,46.12
2025-05-02,46.07
2025-05-03,46.08
2025-05-04,46.01
2025-05-05,45.89
2025-05-06,45.99
2025-05-07,45.73
2025-05-08,45.83
2025-05-09,45.79
2025-05-10,45.83
2025-05-11,45.68
2025-05-12,45.73
2025-05-13,45.54
2025-05-14,45.44
2025-05-15,45.54
2025-05-16,45.38
2025-05-17,45.22
2025-05-18,45.22
2025-05-19,45.12
2025-05-20,44.97
2025-05-21,44.87
2025-05-22,44.77
2025-05-23,44.87
2025-05-24,44.92
2025-05-25,45.17
2025-05-26,45.16
2025-05-27,44.67
2025-05-28,44.82
2025-05-29,44.63
2025-05-30,44.96
2025-05-31,44.76
2025-06-01,44.81
2025-06-02,44.86
2025-06-03,44.87
2025-06-04,44.61
2025-06-05,44.71
2025-06-06,44.76
2025-06-07,44.76
2025-06-08,45.01
2025-06-09,44.87
2025-06-10,44.97
2025-06-11,45.22
2025-06-12,45.24
2025-06-13,45.45
2025-06-14,45.31
2025-06-15,44.87
2025-06-16,45.08
2025-06-17,45.63
2025-06-18,45.63
2025-06-19,45.63
2025-06-20,45.78
2025-06-21,45.83
2025-06-22,45.83
2025-06-23,45.84
2025-06-24,45.84
2025-06-25,45.75
2025-06-26,45.7
2025-06-27,45.75
2025-06-28,46.0
2025-06-29,45.84
2025-06-30,46.24
2025-07-01,46.1
2025-07-02,45.74
2025-07-03,46.02
2025-07-04,45.87
2025-07-05,45.85
2025-07-06,45.89
2025-07-07,45.93
2025-07-08,46.33
2025-07-09,46.34
2025-07-10,46.37
2025-07-11,46.63
2025-07-12,46.86
2025-07-13,47.62
2025-07-14,47.62
2025-07-15,47.75
2025-07-16,48.39
2025-07-17,51.26
2025-07-18,51.68
2025-07-19,52.09
2025-07-20,52.04
2025-07-21,53.09
2025-07-22,54.56
2025-07-23,54.56
2025-07-24,54.76
2025-07-25,54.54
2025-07-26,54.58
2025-07-27,54.29
2025-07-28,56.14
2025-07-29,56.44
2025-07-30,57.89
2025-07-31,57.8
2025-08-01,57.86
2025-08-02,57.71
2025-08-03,57.73
2025-08-04,57.6
2025-08-05,57.65
2025-08-06,57.59
2025-08-07,57.96
2025-08-08,57.86
2025-08-09,57.51
2025-08-10,57.13
2025-08-11,57.53
2025-08-12,57.3
2025-08-13,57.34
2025-08-14,57.31
2025-08-15,57.29
2025-08-16,57.04
2025-08-17,57.24
2025-08-18,58.07
2025-08-19,58.35
2025-08-20,58.63
2025-08-21,58.72
2025-08-22,58.91
2025-08-23,58.49
2025-08-24,58.69
2025-08-25,58.64
2025-08-26,58.57
2025-08-27,58.49
2025-08-28,58.37
2025-08-29,59.05
2025-08-30,59.07
2025-08-31,58.85
2025-09-01,58.76
2025-09-02,59.06
2025-09-03,59.2
2025-09-04,61.54
2025-09-05,61.6
2025-09-06,62.06
2025-09-07,62.26
2025-09-08,62.55
2025-09-09,62.33
2025-09-10,62.44
2025-09-11,62.55
2025-09-12,62.35
2025-09-13,62.3
2025-09-14,62.21
2025-09-15,62.11
2025-09-16,62.17
2025-09-17,62.17
2025-09-18,62.02
2025-09-19,61.82
2025-09-20,61.77
2025-09-21,61.67
2025-09-22,61.6
2025-09-23,61.54
2025-09-24,61.31
2025-09-25,61.17
2025-09-26,61.02
2025-09-27,60.93
2025-09-28,59.64
2025-09-29,59.39
2025-09-30,59.73
2025-10-01,59.73
2025-10-02,59.62
2025-10-03,59.64
2025-10-04,59.54
2025-10-05,58.35
2025-10-06,58.45
2025-10-07,58.97
2025-10-08,59.02
2025-10-09,59.27
2025-10-10,59.29
2025-10-11,61.63
2025-10-12,62.69
2025-10-13,63.25
2025-10-14,63.17
2025-10-15,63.32
2025-10-16,63.19
2025-10-17,63.09
2025-10-18,63.28
2025-10-19,64.08
2025-10-20,64.28
2025-10-21,65.34
2025-10-22,65.43
2025-10-23,65.21
2025-10-24,65.36
2025-10-25,65.28
2025-10-26,65.27
2025-10-27,65.5
2025-10-28,65.45
2025-10-29,65.67
2025-10-30,65.77
2025-10-31,65.84
2025-11-01,65.89
2025-11-02,65.8
2025-11-03,65.91
2025-11-04,65.99
2025-11-05,65.73
2025-11-06,65.76
2025-11-07,65.27
2025-11-08,65.2
2025-11-09,65.25
2025-11-10,65.34
2025-11-11,65.19
2025-11-12,64.95
2025-11-13,64.8
2025-11-14,64.86
2025-11-15,64.74
2025-11-16,64.76
2025-11-17,64.85
2025-11-18,65.02
2025-11-19,64.85
2025-11-20,64.95
2025-11-21,65.26
2025-11-22,65.38
2025-11-23,65.3
2025-11-24,64.99
2025-11-25,65.03
2025-11-26,65.19
2025-11-27,65.19
2025-11-28,65.01
2025-11-29,65.11
2025-11-30,64.99
2025-12-01,65.09
2025-12-02,65.23
2025-12-03,65.04
2025-12-04,65.08
2025-12-05,65.08
