date,price
2025-03-03,250.03
2025-03-04,251.66
2025-03-05,252.91
2025-03-06,254.41
2025-03-07,255.79
2025-03-08,256.79
2025-03-09,258.29
2025-03-10,258.56
2025-03-11,257.82
2025-03-12,258.42
2025-03-13,258.14
2025-03-14,259.94
2025-03-15,259.2
2025-03-16,259.2
2025-03-17,258.02
2025-03-18,259.22
2025-03-19,259.66
2025-03-20,259.51
2025-03-21,259.61
2025-03-22,260.61
2025-03-23,262.82
2025-03-24,264.04
2025-03-25,264.06
2025-03-26,265.31
2025-03-27,264.86
2025-03-28,265.98
2025-03-29,265.73
2025-03-30,264.98
2025-03-31,267.06
2025-04-01,266.25
2025-04-02,267.06
2025-04-03,268.18
2025-04-04,267.69
2025-04-05,267.0
2025-04-06,266.5
2025-04-07,263.28
2025-04-08,262.91
2025-04-09,257.43
2025-04-10,257.24
2025-04-11,259.26
2025-04-12,258.83
2025-04-13,257.56
2025-04-14,257.77
2025-04-15,256.97
2025-04-16,255.44
2025-04-17,254.98
2025-04-18,254.93
2025-04-19,255.74
2025-04-20,255.71
2025-04-21,256.42
2025-04-22,256.0
2025-04-23,256.0
2025-04-24,257.35
2025-04-25,257.1
2025-04-26,258.2
2025-04-27,258.93
2025-04-28,260.07
2025-04-29,261.0
2025-04-30,261.37
2025-05-01,260.56
2025-05-02,261.81
2025-05-03,261.85
2025-05-04,261.01
2025-05-05,263.04
2025-05-06,264.74
2025-05-07,264.65
2025-05-08,263.8
2025-05-09,264.55
2025-05-10,265.6
2025-05-11,266.42
2025-05-12,267.19
2025-05-13,268.76
2025-05-14,268.8
2025-05-15,268.8
2025-05-16,269.55
2025-05-17,269.56
2025-05-18,269.55
2025-05-19,270.05
2025-05-20,268.82
2025-05-21,267.5
2025-05-22,268.0
2025-05-23,268.37
2025-05-24,268.38
2025-05-25,268.9
2025-05-26,270.95
2025-05-27,271.19
2025-05-28,271.06
2025-05-29,270.81
2025-05-30,271.02
2025-05-31,273.57
2025-06-01,273.62
2025-06-02,274.45
2025-06-03,274.54
2025-06-04,275.26
2025-06-05,275.24
2025-06-06,274.99
2025-06-07,274.18
2025-06-08,275.38
2025-06-09,276.37
2025-06-10,276.4
2025-06-11,276.92
2025-06-12,276.25
2025-06-13,276.32
2025-06-14,275.78
2025-06-15,276.21
2025-06-16,275.98
2025-06-17,276.12
2025-06-18,275.61
2025-06-19,276.4
2025-06-20,276.45
2025-06-21,275.17
2025-06-22,276.06
2025-06-23,275.79
2025-06-24,276.16
2025-06-25,276.17
2025-06-26,276.67
2025-06-27,277.69
2025-06-28,278.25
2025-06-29,278.0
2025-06-30,277.82
2025-07-01,278.42
2025-07-02,277.62
2025-07-03,277.08
2025-07-04,277.58
2025-07-05,277.33
2025-07-06,278.21
2025-07-07,278.97
2025-07-08,279.42
2025-07-09,280.56
2025-07-10,281.5
2025-07-11,281.98
2025-07-12,283.06
2025-07-13,283.86
2025-07-14,284.02
2025-07-15,283.52
2025-07-16,283.79
2025-07-17,284.46
2025-07-18,283.61
2025-07-19,284.67
2025-07-20,285.02
2025-07-21,284.78
2025-07-22,284.84
2025-07-23,285.09
2025-07-24,286.0
2025-07-25,286.31
2025-07-26,285.49
2025-07-27,285.75
2025-07-28,286.76
2025-07-29,286.78
2025-07-30,286.9
2025-07-31,288.48
2025-08-01,288.55
2025-08-02,289.13
2025-08-03,289.4
2025-08-04,290.9
2025-08-05,290.46
2025-08-06,291.23
2025-08-07,292.02
2025-08-08,292.59
2025-08-09,292.79
2025-08-10,292.7
2025-08-11,293.16
2025-08-12,293.29
2025-08-13,294.74
2025-08-14,294.49
2025-08-15,294.51
2025-08-16,293.73
2025-08-17,294.3
2025-08-18,294.67
2025-08-19,295.11
2025-08-20,295.17
2025-08-21,296.03
2025-08-22,296.53
2025-08-23,296.8
2025-08-24,297.13
2025-08-25,296.11
2025-08-26,298.1
2025-08-27,298.27
2025-08-28,297.41
2025-08-29,297.41
2025-08-30,297.67
2025-08-31,298.29
2025-09-01,297.79
2025-09-02,297.83
2025-09-03,297.87
2025-09-04,297.64
2025-09-05,297.82
2025-09-06,297.56
2025-09-07,298.06
2025-09-08,298.13
2025-09-09,298.19
2025-09-10,299.17
2025-09-11,299.17
2025-09-12,298.55
2025-09-13,297.21
2025-09-14,296.86
2025-09-15,296.34
2025-09-16,295.93
2025-09-17,295.78
2025-09-18,294.79
2025-09-19,295.04
2025-09-20,294.88
2025-09-21,294.65
2025-09-22,293.45
2025-09-23,293.5
2025-09-24,293.53
2025-09-25,294.01
2025-09-26,292.48
2025-09-27,293.73
2025-09-28,294.34
2025-09-29,294.51
2025-09-30,293.96
2025-10-01,293.46
2025-10-02,293.77
2025-10-03,292.98
2025-10-04,292.98
2025-10-05,292.74
2025-10-06,292.99
2025-10-07,293.24
2025-10-08,294.02
2025-10-09,294.03
2025-10-10,294.71
2025-10-11,294.22
2025-10-12,293.47
2025-10-13,295.09
2025-10-14,294.77
2025-10-15,294.54
2025-10-16,294.78
2025-10-17,294.59
2025-10-18,296.35
2025-10-19,297.85
2025-10-20,297.85
2025-10-21,299.1
2025-10-22,299.34
2025-10-23,298.72
2025-10-24,299.99
2025-10-25,299.57
2025-10-26,299.57
2025-10-27,299.35
2025-10-28,299.76
2025-10-29,298.26
2025-10-30,297.71
2025-10-31,297.51
2025-11-01,297.87
2025-11-02,298.14
2025-11-03,297.33
2025-11-04,297.8
2025-11-05,298.02
2025-11-06,299.05
2025-11-07,299.07
2025-11-08,299.0
2025-11-09,298.78
2025-11-10,299.55
2025-11-11,299.62
2025-11-12,300.48
2025-11-13,300.25
2025-11-14,299.5
2025-11-15,300.18
2025-11-16,299.38
2025-11-17,299.07
2025-11-18,297.85
2025-11-19,297.65
2025-11-20,295.44
2025-11-21,294.99
2025-11-22,294.76
2025-11-23,294.76
2025-11-24,295.77
2025-11-25,295.53
2025-11-26,294.83
2025-11-27,295.92
2025-11-28,294.93
2025-11-29,294.93
2025-11-30,293.95
2025-12-01,294.93
2025-12-02,296.12
2025-12-03,296.35
2025-12-04,297.1
2025-12-05,296.33
2025-12-06,296.59
2025-12-07,296.09
2025-12-08,296.34
2025-12-09,295.35
2025-12-10,294.71
2025-12-11,295.95
2025-12-12,296.44
2025-12-13,296.71
2025-12-14,297.47
2025-12-15,299.2
2025-12-16,298.73
2025-12-17,299.7
2025-12-18,299.25
2025-12-19,299.52
2025-12-20,299.82
2025-12-21,299.62
2025-12-22,299.35
2025-12-23,300.76
2025-12-24,300.33
2025-12-25,300.41
2025-12-26,300.13
2025-12-27,300.93
2025-12-28,302.73
2025-12-29,302.35
2025-12-30,302.85
2025-12-31,302.87
2026-01-01,304.45
2026-01-02,305.67
2026-01-03,304.69
