date,price
2025-03-05,179.91
2025-03-06,180.8
2025-03-07,180.99
2025-03-08,180.22
2025-03-09,179.55
2025-03-10,178.72
2025-03-11,178.98
2025-03-12,179.15
2025-03-13,178.89
2025-03-14,178.39
2025-03-15,177.76
2025-03-16,178.15
2025-03-17,177.82
2025-03-18,177.5
2025-03-19,178.19
2025-03-20,178.2
2025-03-21,177.87
2025-03-22,177.93
2025-03-23,178.94
2025-03-24,179.93
2025-03-25,179.42
2025-03-26,180.25
2025-03-27,179.57
2025-03-28,180.24
2025-03-29,180.9
2025-03-30,180.56
2025-03-31,180.57
2025-04-01,181.23
2025-04-02,181.92
2025-04-03,182.81
2025-04-04,182.13
2025-04-05,182.37
2025-04-06,181.23
2025-04-07,181.04
2025-04-08,181.37
2025-04-09,180.89
2025-04-10,180.87
2025-04-11,180.37
2025-04-12,181.19
2025-04-13,182.36
2025-04-14,183.35
2025-04-15,183.68
2025-04-16,184.01
2025-04-17,184.03
2025-04-18,183.25
2025-04-19,183.05
2025-04-20,183.06
2025-04-21,182.57
2025-04-22,181.42
2025-04-23,181.1
2025-04-24,181.47
2025-04-25,181.3
2025-04-26,180.81
2025-04-27,180.6
2025-04-28,180.6
2025-04-29,181.0
2025-04-30,181.64
2025-05-01,181.34
2025-05-02,181.17
2025-05-03,181.1
2025-05-04,182.26
2025-05-05,182.6
2025-05-06,182.56
2025-05-07,183.18
2025-05-08,182.68
2025-05-09,182.53
2025-05-10,182.88
2025-05-11,182.55
2025-05-12,182.56
2025-05-13,182.76
2025-05-14,182.29
2025-05-15,182.29
2025-05-16,182.54
2025-05-17,183.35
2025-05-18,183.53
2025-05-19,183.2
2025-05-20,183.51
2025-05-21,183.35
2025-05-22,183.2
2025-05-23,183.05
2025-05-24,182.9
2025-05-25,184.41
2025-05-26,185.05
2025-05-27,185.99
2025-05-28,184.84
2025-05-29,184.69
2025-05-30,185.02
2025-05-31,185.69
2025-06-01,186.6
2025-06-02,186.63
2025-06-03,186.33
2025-06-04,186.15
2025-06-05,188.14
2025-06-06,187.48
2025-06-07,187.64
2025-06-08,188.48
2025-06-09,188.31
2025-06-10,188.51
2025-06-11,190.27
2025-06-12,189.96
2025-06-13,190.91
2025-06-14,190.95
2025-06-15,192.1
2025-06-16,192.56
2025-06-17,192.25
2025-06-18,192.34
2025-06-19,193.42
2025-06-20,194.16
2025-06-21,194.32
2025-06-22,195.35
2025-06-23,195.73
2025-06-24,195.41
2025-06-25,196.37
2025-06-26,196.49
2025-06-27,196.19
2025-06-28,195.29
2025-06-29,196.01
2025-06-30,196.31
2025-07-01,196.67
2025-07-02,195.18
2025-07-03,195.15
2025-07-04,194.99
2025-07-05,195.02
2025-07-06,195.15
2025-07-07,195.64
2025-07-08,196.37
2025-07-09,197.47
2025-07-10,198.39
2025-07-11,198.18
2025-07-12,198.52
2025-07-13,198.55
2025-07-14,198.64
2025-07-15,198.73
2025-07-16,199.01
2025-07-17,198.27
2025-07-18,197.78
2025-07-19,198.26
2025-07-20,197.94
2025-07-21,198.1
2025-07-22,198.23
2025-07-23,197.73
2025-07-24,197.69
2025-07-25,198.11
2025-07-26,197.94
2025-07-27,197.45
2025-07-28,196.64
2025-07-29,196.87
2025-07-30,197.22
2025-07-31,197.46
2025-08-01,197.46
2025-08-02,197.92
2025-08-03,197.95
2025-08-04,198.01
2025-08-05,198.92
2025-08-06,198.48
2025-08-07,199.19
2025-08-08,198.4
2025-08-09,198.19
2025-08-10,198.16
2025-08-11,200.26
2025-08-12,200.54
2025-08-13,200.93
2025-08-14,200.59
2025-08-15,200.54
2025-08-16,200.88
2025-08-17,201.21
2025-08-18,201.07
2025-08-19,200.46
2025-08-20,201.45
2025-08-21,201.13
2025-08-22,202.21
2025-08-23,201.62
2025-08-24,201.46
2025-08-25,201.8
2025-08-26,202.73
2025-08-27,202.24
2025-08-28,201.89
2025-08-29,202.24
2025-08-30,202.11
2025-08-31,202.45
2025-09-01,202.42
2025-09-02,203.72
2025-09-03,203.24
2025-09-04,203.41
2025-09-05,202.75
2025-09-06,202.41
2025-09-07,202.58
2025-09-08,203.61
2025-09-09,203.94
2025-09-10,204.42
2025-09-11,203.86
2025-09-12,203.51
2025-09-13,202.47
2025-09-14,203.08
2025-09-15,203.84
2025-09-16,204.35
2025-09-17,204.35
2025-09-18,204.51
2025-09-19,203.7
2025-09-20,203.2
2025-09-21,203.36
2025-09-22,202.46
2025-09-23,203.54
2025-09-24,203.38
2025-09-25,203.71
2025-09-26,204.21
2025-09-27,204.18
2025-09-28,204.18
2025-09-29,203.83
2025-09-30,205.35
2025-10-01,204.82
2025-10-02,205.35
2025-10-03,205.7
2025-10-04,205.05
2025-10-05,204.37
2025-10-06,204.7
2025-10-07,204.53
2025-10-08,204.86
2025-10-09,204.66
2025-10-10,204.51
2025-10-11,203.85
2025-10-12,204.48
2025-10-13,204.29
2025-10-14,203.95
2025-10-15,205.11
2025-10-16,204.12
2025-10-17,203.66
2025-10-18,203.99
2025-10-19,204.31
2025-10-20,203.79
2025-10-21,203.95
2025-10-22,203.6
2025-10-23,202.46
2025-10-24,202.78
2025-10-25,202.27
2025-10-26,202.77
2025-10-27,203.43
2025-10-28,204.04
2025-10-29,203.86
2025-10-30,204.31
2025-10-31,204.59
2025-11-01,204.1
2025-11-02,204.43
2025-11-03,204.27
2025-11-04,204.98
2025-11-05,204.34
2025-11-06,204.32
2025-11-07,204.32
2025-11-08,205.15
2025-11-09,205.33
2025-11-10,205.14
2025-11-11,204.65
2025-11-12,204.87
2025-11-13,205.75
2025-11-14,205.62
2025-11-15,206.65
2025-11-16,206.15
2025-11-17,209.13
2025-11-18,210.35
2025-11-19,210.65
2025-11-20,209.98
2025-11-21,209.82
2025-11-22,211.15
2025-11-23,210.86
2025-11-24,209.99
2025-11-25,210.22
