date,price
2025-03-15,71.07
2025-03-16,78.39
2025-03-17,73.15
2025-03-18,71.68
2025-03-19,70.94
2025-03-20,72.62
2025-03-21,70.85
2025-03-22,69.77
2025-03-23,68.37
2025-03-24,68.96
2025-03-25,69.11
2025-03-26,68.72
2025-03-27,68.05
2025-03-28,67.74
2025-03-29,67.25
2025-03-30,64.87
2025-03-31,64.7
2025-04-01,63.73
2025-04-02,61.46
2025-04-03,60.81
2025-04-04,60.52
2025-04-05,59.91
2025-04-06,59.28
2025-04-07,59.34
2025-04-08,59.02
2025-04-09,58.2
2025-04-10,57.67
2025-04-11,57.67
2025-04-12,57.03
2025-04-13,56.41
2025-04-14,56.16
2025-04-15,55.38
2025-04-16,55.1
2025-04-17,54.53
2025-04-18,54.44
2025-04-19,54.33
2025-04-20,53.99
2025-04-21,53.34
2025-04-22,52.79
2025-04-23,52.74
2025-04-24,52.48
2025-04-25,52.3
2025-04-26,52.38
2025-04-27,52.53
2025-04-28,52.35
2025-04-29,52.3
2025-04-30,51.94
2025-05-01,51.78
2025-05-02,51.91
2025-05-03,51.63
2025-05-04,51.49
2025-05-05,51.08
2025-05-06,50.98
2025-05-07,51.03
2025-05-08,51.23
2025-05-09,51.08
2025-05-10,50.62
2025-05-11,50.66
2025-05-12,50.56
2025-05-13,50.5
2025-05-14,50.61
2025-05-15,50.46
2025-05-16,50.1
2025-05-17,50.05
2025-05-18,49.85
2025-05-19,49.94
2025-05-20,49.69
2025-05-21,49.48
2025-05-22,49.77
2025-05-23,49.57
2025-05-24,49.07
2025-05-25,48.98
2025-05-26,48.65
2025-05-27,48.5
2025-05-28,47.4
2025-05-29,47.3
2025-05-30,56.07
2025-05-31,61.03
2025-06-01,64.05
2025-06-02,65.19
2025-06-03,62.04
2025-06-04,61.53
2025-06-05,62.43
2025-06-06,63.26
2025-06-07,63.27
2025-06-08,63.93
2025-06-09,64.4
2025-06-10,64.46
2025-06-11,64.08
2025-06-12,64.83
2025-06-13,64.79
2025-06-14,64.57
2025-06-15,65.0
2025-06-16,65.19
2025-06-17,65.24
2025-06-18,65.59
2025-06-19,65.9
2025-06-20,68.47
2025-06-21,68.38
2025-06-22,68.58
2025-06-23,68.84
2025-06-24,68.85
2025-06-25,68.95
2025-06-26,70.28
2025-06-27,70.3
2025-06-28,70.54
2025-06-29,70.48
2025-06-30,70.41
2025-07-01,70.82
2025-07-02,71.01
2025-07-03,71.09
2025-07-04,71.44
2025-07-05,71.61
2025-07-06,71.28
2025-07-07,71.78
2025-07-08,71.95
2025-07-09,73.0
2025-07-10,74.4
2025-07-11,74.63
2025-07-12,74.87
2025-07-13,75.28
2025-07-14,75.11
2025-07-15,75.2
2025-07-16,74.98
2025-07-17,74.97
2025-07-18,76.01
2025-07-19,76.01
2025-07-20,76.25
2025-07-21,76.11
2025-07-22,75.94
2025-07-23,76.78
2025-07-24,76.33
2025-07-25,76.66
2025-07-26,76.71
2025-07-27,77.94
2025-07-28,81.75
2025-07-29,82.33
2025-07-30,83.28
2025-07-31,84.26
2025-08-01,84.69
2025-08-02,84.29
2025-08-03,83.88
2025-08-04,85.28
2025-08-05,85.91
2025-08-06,85.34
2025-08-07,85.49
2025-08-08,85.51
2025-08-09,85.04
2025-08-10,85.13
2025-08-11,85.04
2025-08-12,85.91
2025-08-13,86.41
2025-08-14,86.71
2025-08-15,86.16
2025-08-16,86.13
2025-08-17,86.64
2025-08-18,86.7
2025-08-19,87.2
2025-08-20,87.37
2025-08-21,87.37
2025-08-22,87.73
2025-08-23,87.08
2025-08-24,86.8
2025-08-25,86.87
2025-08-26,86.89
2025-08-27,86.65
2025-08-28,87.45
2025-08-29,88.33
2025-08-30,88.44
2025-08-31,88.67
2025-09-01,88.4
2025-09-02,88.39
2025-09-03,88.47
2025-09-04,88.72
2025-09-05,88.97
2025-09-06,88.48
2025-09-07,88.64
2025-09-08,88.39
2025-09-09,88.8
2025-09-10,88.64
2025-09-11,89.17
2025-09-12,88.92
2025-09-13,88.44
2025-09-14,88.44
2025-09-15,88.44
2025-09-16,88.34
2025-09-17,88.42
2025-09-18,88.09
2025-09-19,87.88
2025-09-20,88.15
2025-09-21,88.33
2025-09-22,87.92
2025-09-23,87.75
2025-09-24,87.66
2025-09-25,87.51
2025-09-26,87.12
