date,price
2025-03-03,32.41
2025-03-04,32.38
2025-03-05,32.44
2025-03-06,32.47
2025-03-07,32.44
2025-03-08,32.57
2025-03-09,32.47
2025-03-10,32.34
2025-03-11,32.31
2025-03-12,32.33
2025-03-13,32.23
2025-03-14,32.2
2025-03-15,32.19
2025-03-16,32.32
2025-03-17,32.36
2025-03-18,32.29
2025-03-19,32.21
2025-03-20,31.98
2025-03-21,31.6
2025-03-22,31.51
2025-03-23,31.24
2025-03-24,31.19
2025-03-25,31.2
2025-03-26,31.2
2025-03-27,30.86
2025-03-28,30.85
2025-03-29,30.81
2025-03-30,31.07
2025-03-31,31.04
2025-04-01,31.14
2025-04-02,32.45
2025-04-03,32.79
2025-04-04,32.88
2025-04-05,33.03
2025-04-06,32.8
2025-04-07,32.86
2025-04-08,32.82
2025-04-09,32.72
2025-04-10,32.46
2025-04-11,32.49
2025-04-12,32.52
2025-04-13,32.52
2025-04-14,32.29
2025-04-15,32.16
2025-04-16,32.29
2025-04-17,32.23
2025-04-18,32.17
2025-04-19,32.01
2025-04-20,32.0
2025-04-21,31.14
2025-04-22,31.12
2025-04-23,30.64
2025-04-24,30.4
2025-04-25,30.33
2025-04-26,29.65
2025-04-27,30.02
2025-04-28,29.95
2025-04-29,30.02
2025-04-30,30.02
2025-05-01,30.04
2025-05-02,30.07
2025-05-03,30.01
2025-05-04,30.17
2025-05-05,30.18
2025-05-06,30.19
2025-05-07,29.97
2025-05-08,30.0
2025-05-09,30.23
2025-05-10,30.1
2025-05-11,30.04
2025-05-12,29.96
2025-05-13,29.93
2025-05-14,29.8
2025-05-15,29.72
2025-05-16,29.81
2025-05-17,29.79
2025-05-18,29.66
2025-05-19,29.63
2025-05-20,29.39
2025-05-21,29.31
2025-05-22,29.31
2025-05-23,29.34
2025-05-24,29.37
2025-05-25,29.37
2025-05-26,29.37
2025-05-27,29.5
2025-05-28,29.43
2025-05-29,29.43
2025-05-30,29.33
2025-05-31,29.14
2025-06-01,29.21
2025-06-02,28.97
2025-06-03,28.86
2025-06-04,29.12
2025-06-05,32.2
2025-06-06,32.72
2025-06-07,33.64
2025-06-08,33.75
2025-06-09,33.91
2025-06-10,34.04
2025-06-11,33.68
2025-06-12,33.65
2025-06-13,33.71
2025-06-14,33.68
2025-06-15,33.77
2025-06-16,33.9
2025-06-17,33.93
2025-06-18,34.13
2025-06-19,34.19
2025-06-20,34.25
2025-06-21,34.42
2025-06-22,34.42
2025-06-23,34.29
2025-06-24,34.49
2025-06-25,34.43
2025-06-26,34.52
2025-06-27,34.56
2025-06-28,34.45
2025-06-29,34.43
2025-06-30,34.46
2025-07-01,34.52
2025-07-02,34.65
2025-07-03,34.65
2025-07-04,34.64
2025-07-05,34.81
2025-07-06,34.78
2025-07-07,35.02
2025-07-08,34.96
2025-07-09,35.03
2025-07-10,35.07
2025-07-11,35.22
2025-07-12,35.48
2025-07-13,35.3
2025-07-14,35.07
2025-07-15,35.07
2025-07-16,34.98
2025-07-17,34.95
2025-07-18,35.04
2025-07-19,35.05
2025-07-20,34.88
2025-07-21,34.85
2025-07-22,34.72
2025-07-23,34.91
2025-07-24,34.87
2025-07-25,34.77
2025-07-26,34.78
2025-07-27,34.82
2025-07-28,35.02
2025-07-29,34.87
2025-07-30,34.91
2025-07-31,35.04
2025-08-01,35.17
2025-08-02,35.14
2025-08-03,35.14
2025-08-04,35.15
2025-08-05,35.18
