date,price
2025-03-05,195.63
2025-03-06,195.86
2025-03-07,197.19
2025-03-08,197.87
2025-03-09,198.25
2025-03-10,197.95
2025-03-11,198.03
2025-03-12,199.12
2025-03-13,199.26
2025-03-14,199.44
2025-03-15,200.41
2025-03-16,201.11
2025-03-17,201.27
2025-03-18,200.63
2025-03-19,199.43
2025-03-20,199.78
2025-03-21,201.01
2025-03-22,201.75
2025-03-23,201.98
2025-03-24,201.81
2025-03-25,201.78
2025-03-26,204.66
2025-03-27,206.78
2025-03-28,208.37
2025-03-29,209.29
2025-03-30,209.96
2025-03-31,211.56
2025-04-01,213.37
2025-04-02,213.08
2025-04-03,214.24
2025-04-04,214.94
2025-04-05,215.13
2025-04-06,216.34
2025-04-07,216.47
2025-04-08,217.5
2025-04-09,218.26
2025-04-10,219.39
2025-04-11,218.49
2025-04-12,217.97
2025-04-13,217.77
2025-04-14,217.9
2025-04-15,218.13
2025-04-16,218.04
2025-04-17,219.06
2025-04-18,219.52
2025-04-19,219.41
2025-04-20,218.4
2025-04-21,218.99
2025-04-22,219.98
2025-04-23,221.15
2025-04-24,220.95
2025-04-25,220.79
2025-04-26,221.3
2025-04-27,221.75
2025-04-28,221.75
2025-04-29,222.0
2025-04-30,221.7
2025-05-01,222.7
2025-05-02,222.72
2025-05-03,222.38
2025-05-04,222.38
2025-05-05,222.71
2025-05-06,223.12
2025-05-07,224.01
2025-05-08,223.97
2025-05-09,225.61
2025-05-10,226.23
2025-05-11,225.63
2025-05-12,226.31
2025-05-13,227.13
2025-05-14,228.26
2025-05-15,229.68
2025-05-16,230.04
2025-05-17,229.87
2025-05-18,229.56
2025-05-19,229.72
2025-05-20,229.92
2025-05-21,229.85
2025-05-22,229.69
2025-05-23,230.22
2025-05-24,229.9
2025-05-25,229.43
2025-05-26,230.29
2025-05-27,230.33
2025-05-28,231.02
2025-05-29,231.48
2025-05-30,232.04
2025-05-31,231.53
2025-06-01,232.55
2025-06-02,232.02
2025-06-03,231.93
2025-06-04,232.12
2025-06-05,233.58
2025-06-06,233.17
2025-06-07,234.73
2025-06-08,236.58
2025-06-09,236.08
2025-06-10,236.83
2025-06-11,237.71
2025-06-12,237.55
