date,price
2025-03-04,68.18
2025-03-05,68.41
2025-03-06,68.56
2025-03-07,68.51
2025-03-08,68.11
2025-03-09,68.12
2025-03-10,67.69
2025-03-11,67.6
2025-03-12,67.43
2025-03-13,67.48
2025-03-14,67.34
2025-03-15,67.29
2025-03-16,67.34
2025-03-17,66.64
2025-03-18,66.54
2025-03-19,66.33
2025-03-20,66.38
2025-03-21,65.62
2025-03-22,65.66
2025-03-23,65.65
2025-03-24,65.68
2025-03-25,65.64
2025-03-26,65.31
2025-03-27,65.21
2025-03-28,65.25
2025-03-29,65.05
2025-03-30,65.1
2025-03-31,64.95
2025-04-01,64.75
2025-04-02,64.7
2025-04-03,64.7
2025-04-04,64.64
2025-04-05,64.5
2025-04-06,63.71
2025-04-07,64.16
2025-04-08,63.87
2025-04-09,63.77
2025-04-10,63.55
2025-04-11,63.65
2025-04-12,63.52
2025-04-13,63.48
2025-04-14,62.96
2025-04-15,63.2
2025-04-16,63.06
2025-04-17,63.01
2025-04-18,63.01
2025-04-19,62.97
2025-04-20,62.7
2025-04-21,62.23
2025-04-22,62.17
2025-04-23,62.25
2025-04-24,62.54
2025-04-25,62.69
2025-04-26,62.63
2025-04-27,62.28
2025-04-28,62.17
2025-04-29,61.92
2025-04-30,61.0
2025-05-01,60.9
2025-05-02,60.42
2025-05-03,60.31
2025-05-04,60.18
2025-05-05,60.32
2025-05-06,60.13
2025-05-07,60.96
2025-05-08,60.78
2025-05-09,60.85
2025-05-10,60.76
2025-05-11,60.61
2025-05-12,60.86
2025-05-13,61.0
2025-05-14,60.95
2025-05-15,61.15
2025-05-16,61.65
2025-05-17,61.61
2025-05-18,61.67
2025-05-19,61.7
2025-05-20,61.77
2025-05-21,61.84
2025-05-22,68.88
2025-05-23,76.34
2025-05-24,78.95
2025-05-25,79.41
2025-05-26,79.18
2025-05-27,80.18
2025-05-28,81.11
2025-05-29,81.03
2025-05-30,81.92
2025-05-31,81.77
2025-06-01,81.63
2025-06-02,81.81
2025-06-03,83.15
2025-06-04,83.31
2025-06-05,86.16
2025-06-06,85.82
2025-06-07,85.83
2025-06-08,86.39
2025-06-09,86.22
2025-06-10,87.13
2025-06-11,87.67
2025-06-12,87.51
2025-06-13,87.47
2025-06-14,87.23
2025-06-15,88.68
2025-06-16,89.04
2025-06-17,88.95
2025-06-18,89.96
2025-06-19,90.38
2025-06-20,92.07
2025-06-21,92.74
2025-06-22,92.02
2025-06-23,92.07
2025-06-24,92.42
2025-06-25,92.39
2025-06-26,92.96
2025-06-27,93.06
2025-06-28,93.09
2025-06-29,93.17
2025-06-30,95.44
2025-07-01,95.74
2025-07-02,96.79
2025-07-03,97.19
2025-07-04,96.71
2025-07-05,96.61
2025-07-06,97.28
2025-07-07,97.1
2025-07-08,98.41
2025-07-09,99.37
2025-07-10,99.49
2025-07-11,99.57
2025-07-12,101.12
2025-07-13,101.97
2025-07-14,102.2
2025-07-15,102.91
2025-07-16,103.56
2025-07-17,103.81
2025-07-18,104.69
2025-07-19,104.7
2025-07-20,104.62
2025-07-21,105.85
2025-07-22,107.24
2025-07-23,107.25
2025-07-24,107.42
2025-07-25,107.46
2025-07-26,106.89
2025-07-27,106.71
2025-07-28,107.06
2025-07-29,107.65
2025-07-30,107.65
2025-07-31,107.54
2025-08-01,107.85
2025-08-02,108.19
2025-08-03,108.55
2025-08-04,108.9
2025-08-05,109.67
2025-08-06,109.77
2025-08-07,110.23
2025-08-08,110.38
2025-08-09,111.17
2025-08-10,111.31
2025-08-11,112.9
2025-08-12,114.27
2025-08-13,115.11
2025-08-14,115.33
2025-08-15,116.03
2025-08-16,115.65
2025-08-17,116.6
2025-08-18,116.95
2025-08-19,117.92
2025-08-20,117.94
2025-08-21,118.1
2025-08-22,118.44
2025-08-23,118.23
2025-08-24,119.1
2025-08-25,118.81
2025-08-26,119.37
2025-08-27,120.78
2025-08-28,121.59
2025-08-29,122.47
2025-08-30,122.39
2025-08-31,122.63
2025-09-01,123.07
2025-09-02,123.41
2025-09-03,124.54
2025-09-04,125.39
2025-09-05,126.66
2025-09-06,126.43
2025-09-07,127.32
2025-09-08,129.34
2025-09-09,129.49
2025-09-10,130.39
2025-09-11,130.95
2025-09-12,131.28
2025-09-13,131.17
2025-09-14,130.63
2025-09-15,130.72
2025-09-16,131.28
2025-09-17,131.74
2025-09-18,131.85
2025-09-19,131.73
2025-09-20,132.32
2025-09-21,132.11
2025-09-22,132.66
2025-09-23,133.1
2025-09-24,133.23
2025-09-25,133.78
2025-09-26,133.68
2025-09-27,133.71
2025-09-28,134.38
2025-09-29,134.7
2025-09-30,135.25
2025-10-01,135.0
2025-10-02,135.22
2025-10-03,135.26
2025-10-04,135.05
2025-10-05,135.28
2025-10-06,135.26
2025-10-07,135.37
2025-10-08,135.92
2025-10-09,136.25
2025-10-10,136.17
2025-10-11,136.18
2025-10-12,136.39
2025-10-13,136.08
2025-10-14,136.61
2025-10-15,136.72
2025-10-16,136.28
2025-10-17,135.8
2025-10-18,136.25
2025-10-19,136.36
2025-10-20,137.11
2025-10-21,137.61
2025-10-22,137.72
2025-10-23,137.61
2025-10-24,137.96
2025-10-25,140.46
2025-10-26,140.34
2025-10-27,140.12
2025-10-28,139.68
2025-10-29,139.78
2025-10-30,140.11
2025-10-31,139.66
2025-11-01,139.87
2025-11-02,139.75
2025-11-03,140.15
2025-11-04,140.69
2025-11-05,140.92
2025-11-06,141.25
2025-11-07,140.57
2025-11-08,140.57
2025-11-09,139.8
2025-11-10,140.06
2025-11-11,139.85
2025-11-12,141.67
2025-11-13,146.45
2025-11-14,146.96
2025-11-15,146.42
2025-11-16,145.95
2025-11-17,148.62
2025-11-18,148.73
2025-11-19,148.56
2025-11-20,150.16
2025-11-21,150.54
2025-11-22,152.16
2025-11-23,153.0
2025-11-24,154.13
2025-11-25,153.44
2025-11-26,153.33
2025-11-27,153.79
2025-11-28,153.67
2025-11-29,153.12
2025-11-30,153.1
2025-12-01,153.57
2025-12-02,153.9
2025-12-03,153.26
2025-12-04,153.17
2025-12-05,153.72
2025-12-06,153.51
2025-12-07,153.29
2025-12-08,153.44
2025-12-09,153.35
2025-12-10,153.46
2025-12-11,154.27
2025-12-12,154.55
2025-12-13,155.11
2025-12-14,155.55
2025-12-15,155.88
2025-12-16,155.86
2025-12-17,155.96
2025-12-18,155.99
2025-12-19,155.67
2025-12-20,155.73
2025-12-21,155.51
2025-12-22,154.71
2025-12-23,154.98
2025-12-24,155.2
2025-12-25,157.74
2025-12-26,158.78
2025-12-27,158.65
2025-12-28,159.23
2025-12-29,161.77
2025-12-30,161.77
2025-12-31,162.74
2026-01-01,164.5
2026-01-02,167.6
2026-01-03,170.92
2026-01-04,171.52
2026-01-05,172.51
2026-01-06,172.92
2026-01-07,173.58
2026-01-08,172.83
2026-01-09,172.85
2026-01-10,173.01
2026-01-11,173.23
2026-01-12,173.08
2026-01-13,172.74
2026-01-14,172.7
2026-01-15,172.85
2026-01-16,173.63
2026-01-17,173.29
2026-01-18,174.11
2026-01-19,174.0
2026-01-20,173.45
2026-01-21,173.89
2026-01-22,173.25
2026-01-23,172.91
2026-01-24,173.45
2026-01-25,173.11
2026-01-26,173.18
2026-01-27,172.96
2026-01-28,172.94
2026-01-29,172.46
2026-01-30,172.24
2026-01-31,172.66
2026-02-01,174.89
2026-02-02,177.03
2026-02-03,176.72
2026-02-04,181.5
2026-02-05,185.17
2026-02-06,186.4
2026-02-07,187.04
2026-02-08,188.01
2026-02-09,186.85
2026-02-10,190.76
2026-02-11,191.32
2026-02-12,191.31
2026-02-13,191.6
2026-02-14,191.47
2026-02-15,191.46
2026-02-16,191.62
2026-02-17,192.9
2026-02-18,192.41
2026-02-19,191.76
2026-02-20,192.14
2026-02-21,191.0
2026-02-22,192.62
