date,price
2025-03-17,20.99
2025-03-18,25.7
2025-03-19,25.55
2025-03-20,28.63
2025-03-21,26.87
2025-03-22,28.01
2025-03-23,28.79
2025-03-24,27.72
2025-03-25,28.51
2025-03-26,28.23
2025-03-27,28.05
2025-03-28,28.17
2025-03-29,28.56
2025-03-30,28.81
2025-03-31,29.21
2025-04-01,29.54
2025-04-02,29.46
2025-04-03,29.66
2025-04-04,29.63
2025-04-05,29.59
2025-04-06,29.63
2025-04-07,29.62
2025-04-08,29.63
2025-04-09,29.8
2025-04-10,29.67
2025-04-11,29.8
2025-04-12,29.71
2025-04-13,29.64
2025-04-14,29.6
2025-04-15,29.78
2025-04-16,30.08
2025-04-17,30.01
2025-04-18,29.95
2025-04-19,29.9
2025-04-20,30.07
2025-04-21,29.96
2025-04-22,30.03
2025-04-23,29.98
2025-04-24,29.82
2025-04-25,29.9
2025-04-26,29.82
2025-04-27,29.67
2025-04-28,29.51
2025-04-29,29.37
2025-04-30,29.14
2025-05-01,29.04
2025-05-02,29.09
2025-05-03,28.94
2025-05-04,29.16
2025-05-05,29.22
2025-05-06,29.42
2025-05-07,29.45
2025-05-08,30.18
2025-05-09,30.51
2025-05-10,30.75
2025-05-11,30.82
2025-05-12,30.76
2025-05-13,30.69
2025-05-14,31.04
2025-05-15,31.21
2025-05-16,31.39
2025-05-17,31.33
2025-05-18,31.34
2025-05-19,31.37
2025-05-20,31.51
2025-05-21,31.56
2025-05-22,31.4
2025-05-23,31.36
2025-05-24,31.7
2025-05-25,31.77
2025-05-26,31.86
2025-05-27,31.9
2025-05-28,32.33
2025-05-29,32.29
2025-05-30,32.21
2025-05-31,32.09
2025-06-01,32.12
2025-06-02,31.99
2025-06-03,31.66
2025-06-04,31.79
2025-06-05,32.43
2025-06-06,32.56
2025-06-07,32.53
2025-06-08,32.76
2025-06-09,33.04
2025-06-10,33.4
2025-06-11,33.42
2025-06-12,33.51
2025-06-13,33.48
2025-06-14,33.42
2025-06-15,33.68
2025-06-16,33.67
2025-06-17,33.86
2025-06-18,33.92
2025-06-19,33.85
2025-06-20,34.02
2025-06-21,34.2
2025-06-22,34.14
2025-06-23,34.1
2025-06-24,34.22
2025-06-25,34.25
2025-06-26,34.36
2025-06-27,34.33
2025-06-28,34.39
2025-06-29,34.43
2025-06-30,34.43
2025-07-01,34.4
2025-07-02,34.66
2025-07-03,34.76
2025-07-04,34.76
2025-07-05,34.85
2025-07-06,34.93
2025-07-07,34.94
2025-07-08,34.98
2025-07-09,34.87
2025-07-10,34.91
2025-07-11,34.95
2025-07-12,35.12
2025-07-13,35.02
2025-07-14,34.95
2025-07-15,35.08
2025-07-16,35.15
2025-07-17,35.22
2025-07-18,35.27
2025-07-19,35.31
2025-07-20,35.34
2025-07-21,35.47
2025-07-22,35.61
2025-07-23,35.47
2025-07-24,35.53
2025-07-25,35.66
2025-07-26,35.25
2025-07-27,35.5
2025-07-28,35.74
2025-07-29,35.73
2025-07-30,35.93
2025-07-31,35.93
2025-08-01,36.03
2025-08-02,36.07
2025-08-03,36.04
2025-08-04,36.21
2025-08-05,36.4
2025-08-06,36.52
2025-08-07,36.49
2025-08-08,36.64
2025-08-09,37.23
2025-08-10,37.68
2025-08-11,38.81
2025-08-12,39.33
2025-08-13,39.47
2025-08-14,39.7
2025-08-15,39.99
2025-08-16,39.98
2025-08-17,40.19
2025-08-18,40.57
2025-08-19,40.42
2025-08-20,41.94
2025-08-21,42.04
2025-08-22,42.08
2025-08-23,42.04
2025-08-24,42.06
2025-08-25,42.15
2025-08-26,42.35
2025-08-27,42.81
2025-08-28,43.18
2025-08-29,43.86
2025-08-30,43.98
2025-08-31,44.43
2025-09-01,44.33
2025-09-02,44.36
