date,price
2025-03-05,17.04
2025-03-06,16.41
2025-03-07,16.33
2025-03-08,16.4
2025-03-09,16.92
2025-03-10,15.89
2025-03-11,16.43
2025-03-12,15.62
2025-03-13,16.18
2025-03-14,16.04
2025-03-15,15.75
2025-03-16,15.67
2025-03-17,15.66
2025-03-18,15.56
2025-03-19,15.48
2025-03-20,15.39
2025-03-21,15.31
2025-03-22,15.11
2025-03-23,15.06
2025-03-24,14.93
2025-03-25,14.91
2025-03-26,14.79
2025-03-27,14.76
2025-03-28,14.75
2025-03-29,14.75
2025-03-30,14.69
2025-03-31,14.67
2025-04-01,14.69
2025-04-02,14.63
2025-04-03,14.66
2025-04-04,14.62
2025-04-05,14.49
2025-04-06,14.66
2025-04-07,14.7
2025-04-08,14.7
2025-04-09,14.7
2025-04-10,14.66
2025-04-11,14.45
2025-04-12,14.49
2025-04-13,14.43
2025-04-14,14.25
2025-04-15,14.25
2025-04-16,14.27
2025-04-17,14.3
2025-04-18,14.32
2025-04-19,14.18
2025-04-20,14.15
2025-04-21,16.0
2025-04-22,17.21
2025-04-23,16.98
2025-04-24,19.06
2025-04-25,18.7
2025-04-26,18.48
2025-04-27,18.23
2025-04-28,18.13
2025-04-29,18.29
2025-04-30,18.87
2025-05-01,18.63
2025-05-02,18.71
2025-05-03,18.8
2025-05-04,18.79
2025-05-05,18.84
2025-05-06,18.87
2025-05-07,18.75
2025-05-08,18.69
2025-05-09,18.66
2025-05-10,18.7
2025-05-11,18.67
2025-05-12,18.71
2025-05-13,18.76
2025-05-14,18.75
2025-05-15,18.71
2025-05-16,18.73
2025-05-17,18.59
2025-05-18,18.64
2025-05-19,18.66
2025-05-20,18.62
2025-05-21,18.68
2025-05-22,18.73
2025-05-23,18.68
2025-05-24,18.64
2025-05-25,18.58
2025-05-26,18.59
2025-05-27,18.57
2025-05-28,18.57
2025-05-29,18.55
2025-05-30,18.53
2025-05-31,18.64
2025-06-01,18.72
2025-06-02,18.78
2025-06-03,18.7
2025-06-04,18.7
2025-06-05,20.42
2025-06-06,20.33
2025-06-07,20.27
2025-06-08,20.52
2025-06-09,20.61
2025-06-10,20.56
2025-06-11,20.58
2025-06-12,20.58
2025-06-13,20.57
2025-06-14,20.47
2025-06-15,20.57
2025-06-16,20.59
2025-06-17,20.65
2025-06-18,20.73
2025-06-19,20.73
2025-06-20,20.76
2025-06-21,20.79
2025-06-22,20.83
2025-06-23,20.96
2025-06-24,20.93
2025-06-25,20.93
2025-06-26,20.99
2025-06-27,20.97
2025-06-28,20.97
2025-06-29,21.02
2025-06-30,21.0
2025-07-01,20.99
2025-07-02,21.05
2025-07-03,21.01
2025-07-04,20.97
2025-07-05,21.09
2025-07-06,21.03
2025-07-07,20.97
2025-07-08,20.99
2025-07-09,21.05
2025-07-10,20.99
2025-07-11,21.01
2025-07-12,21.09
2025-07-13,21.1
2025-07-14,21.09
2025-07-15,21.13
2025-07-16,21.17
2025-07-17,21.31
2025-07-18,21.48
2025-07-19,21.68
2025-07-20,21.82
2025-07-21,21.93
2025-07-22,21.96
2025-07-23,22.04
2025-07-24,21.91
2025-07-25,21.92
2025-07-26,21.94
2025-07-27,22.02
2025-07-28,22.06
2025-07-29,22.03
2025-07-30,22.09
2025-07-31,22.02
2025-08-01,22.04
2025-08-02,22.02
2025-08-03,22.14
2025-08-04,22.16
2025-08-05,22.14
2025-08-06,22.19
2025-08-07,22.17
2025-08-08,22.16
2025-08-09,22.11
2025-08-10,22.02
2025-08-11,21.98
2025-08-12,22.05
2025-08-13,22.25
2025-08-14,22.22
2025-08-15,22.2
2025-08-16,22.18
2025-08-17,22.21
2025-08-18,22.28
2025-08-19,22.24
2025-08-20,22.28
2025-08-21,22.34
2025-08-22,22.21
2025-08-23,22.19
2025-08-24,22.39
2025-08-25,22.31
2025-08-26,22.33
2025-08-27,22.39
2025-08-28,22.32
2025-08-29,22.4
2025-08-30,22.29
2025-08-31,22.29
2025-09-01,22.28
2025-09-02,22.32
2025-09-03,22.49
2025-09-04,22.46
2025-09-05,22.4
2025-09-06,22.48
2025-09-07,22.46
2025-09-08,22.43
2025-09-09,22.39
2025-09-10,22.45
2025-09-11,22.62
2025-09-12,22.58
2025-09-13,22.63
2025-09-14,22.63
2025-09-15,22.69
2025-09-16,22.7
2025-09-17,22.8
2025-09-18,22.84
2025-09-19,22.88
2025-09-20,22.86
2025-09-21,22.83
2025-09-22,22.72
2025-09-23,22.74
2025-09-24,22.76
2025-09-25,22.7
2025-09-26,22.64
2025-09-27,22.66
2025-09-28,22.64
2025-09-29,22.57
2025-09-30,22.61
2025-10-01,22.62
2025-10-02,22.5
2025-10-03,22.54
2025-10-04,22.54
2025-10-05,22.5
2025-10-06,22.54
2025-10-07,22.5
2025-10-08,22.48
2025-10-09,22.51
2025-10-10,22.52
2025-10-11,22.46
2025-10-12,22.53
2025-10-13,22.57
2025-10-14,22.66
2025-10-15,22.71
2025-10-16,22.62
2025-10-17,22.58
2025-10-18,22.57
2025-10-19,22.54
2025-10-20,22.57
2025-10-21,22.55
2025-10-22,22.46
2025-10-23,22.31
2025-10-24,22.29
2025-10-25,22.3
2025-10-26,22.23
2025-10-27,22.25
2025-10-28,22.18
2025-10-29,22.08
2025-10-30,22.02
2025-10-31,22.0
2025-11-01,22.01
2025-11-02,21.96
2025-11-03,21.92
2025-11-04,21.77
2025-11-05,21.73
2025-11-06,21.58
2025-11-07,21.59
2025-11-08,21.51
2025-11-09,21.49
2025-11-10,21.46
2025-11-11,21.54
2025-11-12,21.59
2025-11-13,21.59
2025-11-14,21.67
2025-11-15,21.73
2025-11-16,21.72
2025-11-17,21.78
2025-11-18,21.82
2025-11-19,21.86
2025-11-20,21.86
2025-11-21,21.9
2025-11-22,21.95
2025-11-23,21.94
2025-11-24,21.94
2025-11-25,22.12
2025-11-26,22.14
2025-11-27,22.16
