date,price
2025-03-03,41.7
2025-03-04,41.56
2025-03-05,41.76
2025-03-06,41.81
2025-03-07,42.01
2025-03-08,41.98
2025-03-09,41.73
2025-03-10,41.72
2025-03-11,41.78
2025-03-12,41.84
2025-03-13,41.89
2025-03-14,41.98
2025-03-15,42.14
2025-03-16,42.24
2025-03-17,42.24
2025-03-18,42.24
2025-03-19,41.92
2025-03-20,41.88
2025-03-21,41.8
2025-03-22,41.76
2025-03-23,42.26
2025-03-24,42.23
2025-03-25,42.19
2025-03-26,42.09
2025-03-27,42.02
2025-03-28,42.45
2025-03-29,42.69
2025-03-30,42.89
2025-03-31,42.87
2025-04-01,42.72
2025-04-02,42.76
2025-04-03,42.92
2025-04-04,43.03
2025-04-05,42.84
2025-04-06,42.85
2025-04-07,42.95
2025-04-08,43.24
2025-04-09,43.34
2025-04-10,43.41
2025-04-11,43.22
2025-04-12,43.17
2025-04-13,43.36
2025-04-14,43.41
2025-04-15,43.37
2025-04-16,43.17
2025-04-17,43.17
2025-04-18,43.23
2025-04-19,43.91
2025-04-20,43.98
2025-04-21,43.89
2025-04-22,44.04
2025-04-23,44.18
2025-04-24,44.14
2025-04-25,44.25
2025-04-26,44.1
2025-04-27,44.0
2025-04-28,43.95
2025-04-29,43.98
2025-04-30,43.84
2025-05-01,44.28
2025-05-02,44.24
2025-05-03,44.24
2025-05-04,44.45
2025-05-05,44.56
2025-05-06,44.46
2025-05-07,44.36
2025-05-08,44.43
2025-05-09,44.19
2025-05-10,44.18
2025-05-11,44.07
2025-05-12,44.21
2025-05-13,43.91
2025-05-14,43.82
2025-05-15,43.92
2025-05-16,43.86
2025-05-17,43.67
2025-05-18,43.8
2025-05-19,43.88
2025-05-20,43.9
2025-05-21,44.16
2025-05-22,44.31
2025-05-23,44.16
2025-05-24,44.28
2025-05-25,44.49
2025-05-26,44.64
2025-05-27,44.6
2025-05-28,44.8
2025-05-29,44.74
2025-05-30,45.24
2025-05-31,45.29
2025-06-01,45.3
2025-06-02,45.21
2025-06-03,45.21
2025-06-04,45.36
2025-06-05,45.31
2025-06-06,45.26
2025-06-07,45.21
2025-06-08,45.07
2025-06-09,45.02
2025-06-10,44.59
2025-06-11,44.64
2025-06-12,44.64
2025-06-13,44.25
2025-06-14,44.05
2025-06-15,44.21
2025-06-16,44.17
2025-06-17,44.03
2025-06-18,44.52
2025-06-19,44.56
2025-06-20,44.5
2025-06-21,44.28
2025-06-22,44.29
2025-06-23,44.34
2025-06-24,44.31
2025-06-25,44.17
2025-06-26,44.16
2025-06-27,44.21
2025-06-28,44.39
2025-06-29,44.24
2025-06-30,44.29
2025-07-01,44.39
2025-07-02,44.58
2025-07-03,44.44
2025-07-04,44.49
2025-07-05,44.79
2025-07-06,44.65
2025-07-07,44.92
2025-07-08,44.92
2025-07-09,45.07
2025-07-10,45.42
2025-07-11,45.71
2025-07-12,45.82
2025-07-13,45.77
2025-07-14,46.22
2025-07-15,47.57
2025-07-16,47.76
2025-07-17,47.81
2025-07-18,47.91
2025-07-19,47.92
2025-07-20,47.99
2025-07-21,48.39
2025-07-22,48.41
2025-07-23,48.41
2025-07-24,48.36
2025-07-25,48.28
2025-07-26,48.31
2025-07-27,48.24
2025-07-28,48.19
2025-07-29,48.55
2025-07-30,49.16
2025-07-31,49.12
2025-08-01,48.95
2025-08-02,48.84
2025-08-03,48.65
2025-08-04,48.51
2025-08-05,48.6
2025-08-06,48.46
2025-08-07,48.52
2025-08-08,48.55
2025-08-09,48.86
2025-08-10,48.96
2025-08-11,49.11
2025-08-12,49.06
2025-08-13,48.89
2025-08-14,48.99
2025-08-15,51.38
2025-08-16,51.45
2025-08-17,51.79
2025-08-18,51.54
2025-08-19,51.57
2025-08-20,51.63
2025-08-21,51.73
2025-08-22,51.9
2025-08-23,52.04
2025-08-24,51.9
2025-08-25,52.03
2025-08-26,52.52
2025-08-27,52.37
2025-08-28,52.52
2025-08-29,52.77
2025-08-30,53.14
2025-08-31,53.09
2025-09-01,53.2
2025-09-02,53.25
2025-09-03,53.58
2025-09-04,53.6
2025-09-05,53.51
2025-09-06,53.64
