date,price
2025-03-05,125.44
2025-03-06,125.56
2025-03-07,126.0
2025-03-08,126.33
2025-03-09,126.12
2025-03-10,126.23
2025-03-11,126.5
2025-03-12,127.29
2025-03-13,128.17
2025-03-14,128.6
2025-03-15,128.49
2025-03-16,128.38
2025-03-17,129.0
2025-03-18,129.07
2025-03-19,129.16
2025-03-20,129.08
2025-03-21,128.35
2025-03-22,128.89
2025-03-23,128.98
2025-03-24,129.43
2025-03-25,129.48
2025-03-26,129.26
2025-03-27,129.48
2025-03-28,129.92
2025-03-29,129.83
2025-03-30,129.14
2025-03-31,128.17
2025-04-01,127.84
2025-04-02,127.77
2025-04-03,128.0
2025-04-04,127.88
2025-04-05,127.97
2025-04-06,127.52
2025-04-07,128.44
2025-04-08,126.09
2025-04-09,126.11
2025-04-10,125.97
2025-04-11,125.88
2025-04-12,126.04
2025-04-13,126.0
2025-04-14,125.86
2025-04-15,125.75
2025-04-16,126.08
2025-04-17,125.53
2025-04-18,125.84
2025-04-19,126.07
2025-04-20,126.73
2025-04-21,127.68
2025-04-22,127.35
2025-04-23,127.82
2025-04-24,128.12
2025-04-25,129.04
2025-04-26,129.1
2025-04-27,129.16
2025-04-28,128.83
2025-04-29,129.25
2025-04-30,129.09
2025-05-01,129.19
2025-05-02,129.42
2025-05-03,129.19
2025-05-04,129.2
2025-05-05,129.1
2025-05-06,129.9
2025-05-07,130.13
2025-05-08,130.35
2025-05-09,130.91
2025-05-10,130.69
2025-05-11,130.56
2025-05-12,130.68
2025-05-13,131.58
2025-05-14,131.59
2025-05-15,131.58
2025-05-16,131.69
2025-05-17,132.16
2025-05-18,132.15
2025-05-19,132.94
2025-05-20,132.71
2025-05-21,132.52
2025-05-22,132.36
2025-05-23,132.91
2025-05-24,132.6
2025-05-25,131.65
2025-05-26,132.04
2025-05-27,131.39
2025-05-28,131.39
2025-05-29,131.19
2025-05-30,131.13
2025-05-31,131.47
2025-06-01,132.19
2025-06-02,133.37
2025-06-03,134.19
2025-06-04,134.17
2025-06-05,136.28
2025-06-06,136.19
2025-06-07,136.27
2025-06-08,137.39
2025-06-09,138.12
2025-06-10,138.34
