date,price
2025-03-05,381.87
2025-03-06,381.39
2025-03-07,381.15
2025-03-08,380.07
2025-03-09,381.75
2025-03-10,380.98
2025-03-11,380.48
2025-03-12,381.23
2025-03-13,380.48
2025-03-14,379.5
2025-03-15,379.01
2025-03-16,379.91
2025-03-17,379.57
2025-03-18,379.58
2025-03-19,378.64
2025-03-20,378.07
2025-03-21,378.32
2025-03-22,375.69
2025-03-23,375.71
2025-03-24,373.95
2025-03-25,372.18
2025-03-26,370.93
2025-03-27,370.09
2025-03-28,370.09
2025-03-29,369.6
2025-03-30,368.66
2025-03-31,371.98
2025-04-01,375.59
2025-04-02,377.64
2025-04-03,377.97
2025-04-04,378.23
2025-04-05,378.71
2025-04-06,382.04
2025-04-07,381.68
2025-04-08,380.98
2025-04-09,380.98
2025-04-10,381.77
2025-04-11,380.78
2025-04-12,382.49
2025-04-13,383.6
2025-04-14,383.0
2025-04-15,383.02
2025-04-16,383.23
2025-04-17,383.35
2025-04-18,382.09
2025-04-19,382.03
2025-04-20,381.8
2025-04-21,382.49
2025-04-22,382.61
2025-04-23,383.06
2025-04-24,384.12
2025-04-25,384.3
2025-04-26,383.81
2025-04-27,384.57
2025-04-28,384.82
2025-04-29,386.65
2025-04-30,386.13
2025-05-01,385.33
2025-05-02,385.57
2025-05-03,385.84
2025-05-04,385.23
2025-05-05,386.62
2025-05-06,386.22
2025-05-07,387.18
2025-05-08,388.59
2025-05-09,389.34
2025-05-10,391.51
2025-05-11,390.18
2025-05-12,390.7
2025-05-13,391.29
2025-05-14,391.17
2025-05-15,390.61
2025-05-16,390.01
2025-05-17,389.76
2025-05-18,390.01
2025-05-19,391.01
2025-05-20,391.5
2025-05-21,391.19
2025-05-22,391.46
2025-05-23,391.41
2025-05-24,391.4
2025-05-25,391.77
2025-05-26,392.28
2025-05-27,392.76
2025-05-28,391.43
2025-05-29,392.46
2025-05-30,393.26
2025-05-31,393.03
2025-06-01,393.53
2025-06-02,393.12
2025-06-03,393.09
2025-06-04,393.07
2025-06-05,393.62
2025-06-06,391.88
2025-06-07,391.6
2025-06-08,391.99
2025-06-09,393.27
2025-06-10,393.31
2025-06-11,393.56
2025-06-12,392.52
2025-06-13,392.29
2025-06-14,391.57
2025-06-15,389.67
2025-06-16,390.92
2025-06-17,390.92
2025-06-18,390.6
2025-06-19,390.07
2025-06-20,391.57
2025-06-21,392.84
2025-06-22,393.47
2025-06-23,395.09
2025-06-24,394.31
2025-06-25,394.54
2025-06-26,395.29
2025-06-27,395.3
2025-06-28,396.1
2025-06-29,396.1
2025-06-30,395.35
2025-07-01,395.35
2025-07-02,395.34
2025-07-03,396.41
2025-07-04,396.66
2025-07-05,396.37
2025-07-06,397.84
2025-07-07,398.19
2025-07-08,398.19
2025-07-09,397.26
2025-07-10,397.71
2025-07-11,398.81
2025-07-12,397.76
2025-07-13,398.16
2025-07-14,399.21
2025-07-15,399.18
2025-07-16,398.66
2025-07-17,397.71
2025-07-18,398.61
2025-07-19,398.63
2025-07-20,398.39
2025-07-21,399.14
2025-07-22,398.2
2025-07-23,397.15
2025-07-24,397.25
2025-07-25,396.1
2025-07-26,395.95
2025-07-27,397.19
2025-07-28,398.57
2025-07-29,399.76
2025-07-30,399.85
2025-07-31,400.11
2025-08-01,401.37
2025-08-02,400.12
2025-08-03,399.78
2025-08-04,400.82
2025-08-05,401.7
2025-08-06,403.03
2025-08-07,403.86
2025-08-08,404.31
2025-08-09,404.77
2025-08-10,404.64
2025-08-11,405.08
2025-08-12,406.33
2025-08-13,407.13
2025-08-14,407.77
2025-08-15,408.34
2025-08-16,408.95
2025-08-17,409.94
2025-08-18,410.45
2025-08-19,410.7
2025-08-20,408.89
2025-08-21,408.89
2025-08-22,410.64
2025-08-23,410.15
2025-08-24,410.53
2025-08-25,409.54
2025-08-26,410.03
2025-08-27,410.01
2025-08-28,409.51
2025-08-29,410.01
2025-08-30,409.58
2025-08-31,410.46
2025-09-01,410.46
2025-09-02,410.96
2025-09-03,411.69
2025-09-04,411.64
2025-09-05,410.89
2025-09-06,410.41
2025-09-07,409.41
2025-09-08,407.75
2025-09-09,407.03
2025-09-10,406.77
2025-09-11,408.07
2025-09-12,407.56
2025-09-13,407.78
2025-09-14,409.03
2025-09-15,408.78
2025-09-16,409.84
2025-09-17,411.18
2025-09-18,411.15
2025-09-19,410.11
2025-09-20,408.86
2025-09-21,408.5
2025-09-22,409.05
2025-09-23,410.05
2025-09-24,410.58
2025-09-25,410.01
2025-09-26,410.01
2025-09-27,411.01
2025-09-28,411.62
2025-09-29,411.21
2025-09-30,411.96
2025-10-01,414.26
2025-10-02,414.78
2025-10-03,415.69
2025-10-04,416.85
2025-10-05,416.05
2025-10-06,415.06
2025-10-07,413.78
2025-10-08,414.79
2025-10-09,415.02
2025-10-10,414.77
2025-10-11,414.79
2025-10-12,413.79
2025-10-13,413.76
2025-10-14,414.26
2025-10-15,414.26
2025-10-16,413.74
2025-10-17,414.21
2025-10-18,414.21
2025-10-19,413.99
2025-10-20,413.8
2025-10-21,413.52
2025-10-22,414.01
2025-10-23,413.04
2025-10-24,414.31
2025-10-25,413.92
2025-10-26,413.64
2025-10-27,414.74
2025-10-28,414.22
2025-10-29,414.24
2025-10-30,413.7
2025-10-31,413.68
2025-11-01,414.49
2025-11-02,414.16
2025-11-03,414.78
2025-11-04,415.62
2025-11-05,415.3
2025-11-06,414.31
2025-11-07,414.01
2025-11-08,413.0
2025-11-09,412.72
2025-11-10,412.45
2025-11-11,413.88
2025-11-12,413.6
2025-11-13,415.37
2025-11-14,416.24
2025-11-15,415.2
2025-11-16,416.27
2025-11-17,417.22
2025-11-18,416.96
2025-11-19,417.35
2025-11-20,417.38
2025-11-21,417.14
2025-11-22,417.75
2025-11-23,418.67
2025-11-24,419.79
2025-11-25,419.25
2025-11-26,416.61
2025-11-27,417.44
2025-11-28,419.23
2025-11-29,417.92
2025-11-30,418.4
2025-12-01,418.7
2025-12-02,419.97
2025-12-03,419.97
2025-12-04,419.2
2025-12-05,420.01
2025-12-06,419.83
2025-12-07,419.33
2025-12-08,419.49
2025-12-09,419.74
2025-12-10,419.52
2025-12-11,420.79
2025-12-12,422.0
2025-12-13,422.0
2025-12-14,421.59
2025-12-15,421.34
2025-12-16,420.28
2025-12-17,421.28
2025-12-18,421.5
2025-12-19,421.75
2025-12-20,422.79
2025-12-21,423.62
2025-12-22,422.37
2025-12-23,422.61
2025-12-24,421.88
2025-12-25,422.92
2025-12-26,421.87
2025-12-27,422.33
2025-12-28,422.41
2025-12-29,422.77
2025-12-30,422.27
2025-12-31,422.57
2026-01-01,422.0
2026-01-02,422.55
2026-01-03,423.04
2026-01-04,422.3
2026-01-05,422.42
2026-01-06,423.62
2026-01-07,424.7
2026-01-08,424.05
2026-01-09,423.64
2026-01-10,424.47
2026-01-11,425.28
2026-01-12,424.93
2026-01-13,424.89
2026-01-14,426.3
