date,price
2025-09-08,21.34
2025-09-09,20.46
2025-09-10,21.34
2025-09-11,21.83
2025-09-12,23.71
2025-09-13,22.74
2025-09-14,22.99
2025-09-15,22.89
2025-09-16,22.68
2025-09-17,22.67
2025-09-18,22.77
2025-09-19,22.74
2025-09-20,22.88
2025-09-21,22.66
2025-09-22,22.77
2025-09-23,22.81
2025-09-24,22.74
2025-09-25,22.8
2025-09-26,22.82
2025-09-27,22.65
2025-09-28,22.7
2025-09-29,22.46
2025-09-30,22.54
2025-10-01,22.62
2025-10-02,22.71
2025-10-03,22.75
2025-10-04,22.87
2025-10-05,22.83
2025-10-06,23.09
2025-10-07,23.09
2025-10-08,23.02
2025-10-09,23.0
2025-10-10,22.96
2025-10-11,22.92
2025-10-12,22.9
2025-10-13,22.89
2025-10-14,22.93
2025-10-15,23.0
2025-10-16,23.0
2025-10-17,22.97
2025-10-18,22.93
2025-10-19,22.87
2025-10-20,22.95
2025-10-21,22.91
2025-10-22,22.88
2025-10-23,22.78
2025-10-24,22.81
2025-10-25,22.84
2025-10-26,22.8
2025-10-27,22.83
2025-10-28,22.86
2025-10-29,22.86
2025-10-30,22.84
2025-10-31,22.83
2025-11-01,22.78
2025-11-02,22.76
2025-11-03,22.76
2025-11-04,22.78
2025-11-05,22.75
2025-11-06,22.78
2025-11-07,22.74
2025-11-08,22.8
2025-11-09,22.78
2025-11-10,22.78
2025-11-11,22.76
2025-11-12,22.76
2025-11-13,22.78
2025-11-14,22.78
2025-11-15,22.76
2025-11-16,22.69
2025-11-17,22.62
2025-11-18,22.62
2025-11-19,22.67
2025-11-20,22.65
2025-11-21,22.7
2025-11-22,22.72
2025-11-23,22.67
2025-11-24,22.68
2025-11-25,22.66
2025-11-26,22.64
2025-11-27,22.6
2025-11-28,22.7
2025-11-29,22.8
2025-11-30,22.85
2025-12-01,22.75
2025-12-02,22.78
2025-12-03,22.8
2025-12-04,22.78
2025-12-05,23.96
2025-12-06,24.7
2025-12-07,24.84
2025-12-08,24.86
2025-12-09,25.05
2025-12-10,24.83
2025-12-11,24.82
2025-12-12,24.86
2025-12-13,24.87
2025-12-14,24.96
2025-12-15,24.89
2025-12-16,24.97
2025-12-17,25.19
2025-12-18,25.23
2025-12-19,25.23
2025-12-20,24.8
2025-12-21,24.87
2025-12-22,24.97
2025-12-23,24.88
2025-12-24,24.84
2025-12-25,24.88
2025-12-26,24.82
2025-12-27,24.76
2025-12-28,24.72
2025-12-29,24.98
2025-12-30,25.14
2025-12-31,25.12
2026-01-01,25.36
2026-01-02,25.23
2026-01-03,24.84
2026-01-04,25.09
2026-01-05,25.15
2026-01-06,25.18
2026-01-07,25.21
2026-01-08,25.1
2026-01-09,24.98
2026-01-10,24.96
2026-01-11,24.95
2026-01-12,24.98
2026-01-13,24.83
2026-01-14,24.81
2026-01-15,24.78
2026-01-16,24.84
2026-01-17,24.81
2026-01-18,24.85
2026-01-19,24.78
2026-01-20,24.82
2026-01-21,24.92
2026-01-22,24.71
2026-01-23,24.71
2026-01-24,24.75
2026-01-25,24.8
2026-01-26,24.76
2026-01-27,24.82
2026-01-28,24.78
2026-01-29,24.75
2026-01-30,24.78
2026-01-31,24.68
2026-02-01,24.7
2026-02-02,24.62
2026-02-03,24.59
2026-02-04,24.58
2026-02-05,24.59
2026-02-06,24.54
2026-02-07,24.55
2026-02-08,24.51
2026-02-09,24.37
2026-02-10,24.24
2026-02-11,24.22
2026-02-12,24.22
2026-02-13,24.19
2026-02-14,24.18
2026-02-15,24.16
2026-02-16,24.18
2026-02-17,24.14
2026-02-18,24.22
2026-02-19,24.26
2026-02-20,24.24
2026-02-21,24.28
2026-02-22,24.37
2026-02-23,24.39
2026-02-24,24.37
2026-02-25,24.4
2026-02-26,24.44
2026-02-27,24.44
2026-02-28,24.4
2026-03-01,24.36
2026-03-02,24.35
