date,price
2025-03-03,103.86
2025-03-04,104.8
2025-03-05,105.29
2025-03-06,105.3
2025-03-07,105.36
2025-03-08,105.59
2025-03-09,105.81
2025-03-10,106.44
2025-03-11,107.27
2025-03-12,107.17
2025-03-13,108.89
2025-03-14,109.79
2025-03-15,110.23
2025-03-16,109.69
2025-03-17,109.91
2025-03-18,110.24
2025-03-19,109.71
2025-03-20,109.93
2025-03-21,109.21
2025-03-22,109.42
2025-03-23,109.66
2025-03-24,109.2
2025-03-25,108.54
2025-03-26,108.41
2025-03-27,107.97
2025-03-28,107.64
2025-03-29,108.19
2025-03-30,108.2
2025-03-31,108.75
2025-04-01,108.53
2025-04-02,108.69
2025-04-03,107.83
2025-04-04,108.18
2025-04-05,108.62
2025-04-06,108.41
2025-04-07,109.55
2025-04-08,109.66
2025-04-09,110.34
2025-04-10,110.38
2025-04-11,111.71
2025-04-12,113.5
2025-04-13,114.16
2025-04-14,114.2
2025-04-15,114.71
2025-04-16,115.92
2025-04-17,115.51
2025-04-18,116.04
2025-04-19,117.55
2025-04-20,118.03
2025-04-21,118.26
2025-04-22,117.94
2025-04-23,117.95
2025-04-24,117.99
2025-04-25,119.07
2025-04-26,119.2
2025-04-27,119.03
2025-04-28,118.9
2025-04-29,119.2
2025-04-30,118.99
2025-05-01,119.31
2025-05-02,120.12
2025-05-03,120.23
2025-05-04,120.27
2025-05-05,120.81
2025-05-06,120.93
2025-05-07,121.48
2025-05-08,121.47
2025-05-09,122.47
2025-05-10,122.99
2025-05-11,123.0
2025-05-12,122.67
2025-05-13,123.0
2025-05-14,122.88
2025-05-15,122.77
2025-05-16,123.22
2025-05-17,123.94
2025-05-18,124.05
2025-05-19,124.64
2025-05-20,124.3
2025-05-21,124.18
2025-05-22,124.42
2025-05-23,125.48
2025-05-24,125.65
2025-05-25,125.32
2025-05-26,126.07
2025-05-27,124.8
2025-05-28,125.46
2025-05-29,125.64
2025-05-30,125.2
2025-05-31,124.87
2025-06-01,124.87
2025-06-02,124.82
2025-06-03,124.94
2025-06-04,125.37
2025-06-05,125.47
2025-06-06,125.12
2025-06-07,126.66
2025-06-08,127.44
2025-06-09,127.71
2025-06-10,127.85
2025-06-11,128.72
2025-06-12,129.29
2025-06-13,129.07
2025-06-14,129.21
2025-06-15,129.22
2025-06-16,129.69
2025-06-17,129.94
2025-06-18,131.14
2025-06-19,131.75
2025-06-20,132.11
2025-06-21,131.78
2025-06-22,131.22
2025-06-23,131.03
2025-06-24,131.91
2025-06-25,133.31
2025-06-26,133.53
2025-06-27,133.82
2025-06-28,133.92
2025-06-29,133.91
2025-06-30,134.42
2025-07-01,134.73
2025-07-02,134.92
2025-07-03,136.11
2025-07-04,136.99
2025-07-05,136.83
2025-07-06,136.58
2025-07-07,137.25
2025-07-08,139.19
2025-07-09,139.16
2025-07-10,139.74
2025-07-11,142.2
2025-07-12,142.03
2025-07-13,143.74
2025-07-14,145.79
2025-07-15,146.91
2025-07-16,149.91
2025-07-17,150.22
2025-07-18,151.29
2025-07-19,152.11
2025-07-20,152.35
2025-07-21,153.51
2025-07-22,153.95
2025-07-23,155.18
2025-07-24,155.29
2025-07-25,155.91
2025-07-26,156.25
2025-07-27,156.51
2025-07-28,156.42
2025-07-29,156.11
2025-07-30,155.98
2025-07-31,156.54
2025-08-01,156.6
2025-08-02,156.26
2025-08-03,156.16
2025-08-04,156.42
2025-08-05,156.8
2025-08-06,156.87
2025-08-07,156.8
2025-08-08,157.4
2025-08-09,157.44
2025-08-10,157.11
2025-08-11,157.43
2025-08-12,158.25
2025-08-13,158.39
2025-08-14,158.43
2025-08-15,158.94
2025-08-16,158.94
2025-08-17,159.6
2025-08-18,158.96
2025-08-19,159.17
2025-08-20,159.39
2025-08-21,159.27
2025-08-22,160.26
2025-08-23,159.32
2025-08-24,159.57
2025-08-25,159.3
2025-08-26,159.63
2025-08-27,159.75
2025-08-28,159.96
2025-08-29,160.09
2025-08-30,160.22
2025-08-31,161.14
2025-09-01,161.36
2025-09-02,161.6
2025-09-03,162.14
2025-09-04,162.7
2025-09-05,163.03
2025-09-06,162.8
2025-09-07,162.76
2025-09-08,162.63
2025-09-09,162.7
2025-09-10,162.81
2025-09-11,162.61
2025-09-12,162.52
2025-09-13,162.65
2025-09-14,163.54
2025-09-15,163.7
2025-09-16,163.78
2025-09-17,163.54
2025-09-18,163.32
2025-09-19,162.77
2025-09-20,163.63
2025-09-21,163.56
2025-09-22,163.26
2025-09-23,162.72
2025-09-24,162.28
2025-09-25,162.76
2025-09-26,162.98
2025-09-27,162.44
2025-09-28,162.12
2025-09-29,162.08
2025-09-30,161.75
2025-10-01,161.51
2025-10-02,161.72
2025-10-03,161.51
2025-10-04,161.97
2025-10-05,161.86
2025-10-06,162.08
2025-10-07,162.7
2025-10-08,162.59
2025-10-09,162.74
2025-10-10,162.96
2025-10-11,162.95
2025-10-12,163.74
2025-10-13,163.84
2025-10-14,163.74
2025-10-15,163.92
2025-10-16,164.25
2025-10-17,163.58
2025-10-18,163.48
2025-10-19,163.12
2025-10-20,162.25
2025-10-21,163.02
2025-10-22,163.87
2025-10-23,164.19
2025-10-24,164.81
2025-10-25,164.52
2025-10-26,164.71
2025-10-27,165.24
2025-10-28,165.7
2025-10-29,165.51
2025-10-30,165.26
2025-10-31,165.12
2025-11-01,165.23
2025-11-02,165.21
2025-11-03,166.27
2025-11-04,166.02
2025-11-05,165.82
2025-11-06,165.83
2025-11-07,166.28
2025-11-08,166.53
2025-11-09,166.42
2025-11-10,166.42
2025-11-11,165.97
2025-11-12,165.79
2025-11-13,165.67
2025-11-14,165.79
2025-11-15,165.87
2025-11-16,165.65
2025-11-17,165.64
2025-11-18,165.86
2025-11-19,165.81
2025-11-20,165.44
2025-11-21,165.32
2025-11-22,166.06
2025-11-23,166.54
2025-11-24,167.36
2025-11-25,167.58
2025-11-26,167.72
2025-11-27,167.67
2025-11-28,167.56
2025-11-29,168.37
2025-11-30,168.13
2025-12-01,167.94
2025-12-02,167.86
2025-12-03,167.93
2025-12-04,168.36
2025-12-05,168.71
2025-12-06,168.76
2025-12-07,169.06
2025-12-08,170.69
2025-12-09,171.49
