date,price
2025-03-05,236.27
2025-03-06,236.77
2025-03-07,236.61
2025-03-08,235.92
2025-03-09,236.07
2025-03-10,235.67
2025-03-11,235.68
2025-03-12,235.68
2025-03-13,235.68
2025-03-14,236.0
2025-03-15,237.2
2025-03-16,236.55
2025-03-17,236.55
2025-03-18,236.4
2025-03-19,237.07
2025-03-20,236.56
2025-03-21,236.88
2025-03-22,235.88
2025-03-23,235.31
2025-03-24,234.09
2025-03-25,234.09
2025-03-26,234.92
2025-03-27,235.78
2025-03-28,235.85
2025-03-29,235.69
2025-03-30,235.51
2025-03-31,235.9
2025-04-01,236.8
2025-04-02,236.56
2025-04-03,236.49
2025-04-04,236.16
2025-04-05,236.33
2025-04-06,238.51
2025-04-07,238.66
2025-04-08,238.51
2025-04-09,239.01
2025-04-10,238.36
2025-04-11,237.85
2025-04-12,236.25
2025-04-13,236.48
2025-04-14,236.85
2025-04-15,237.31
2025-04-16,236.97
2025-04-17,237.35
2025-04-18,238.25
2025-04-19,241.04
2025-04-20,241.21
2025-04-21,241.06
2025-04-22,241.91
2025-04-23,242.42
2025-04-24,242.58
2025-04-25,242.17
2025-04-26,242.59
2025-04-27,243.12
2025-04-28,243.37
2025-04-29,243.15
2025-04-30,243.8
2025-05-01,243.97
2025-05-02,243.34
2025-05-03,243.01
2025-05-04,244.03
2025-05-05,243.71
2025-05-06,245.06
2025-05-07,245.22
2025-05-08,244.9
2025-05-09,244.74
2025-05-10,245.43
2025-05-11,244.84
2025-05-12,245.1
2025-05-13,245.31
2025-05-14,245.05
2025-05-15,244.74
2025-05-16,246.18
2025-05-17,245.87
2025-05-18,245.2
2025-05-19,245.31
2025-05-20,244.48
2025-05-21,244.55
2025-05-22,244.23
2025-05-23,243.78
2025-05-24,244.79
2025-05-25,245.08
2025-05-26,244.75
2025-05-27,244.82
2025-05-28,245.63
2025-05-29,244.68
2025-05-30,244.52
2025-05-31,244.05
2025-06-01,244.71
2025-06-02,244.82
2025-06-03,244.5
2025-06-04,245.8
2025-06-05,244.36
2025-06-06,244.52
2025-06-07,244.18
2025-06-08,243.38
2025-06-09,242.88
2025-06-10,242.74
2025-06-11,242.71
2025-06-12,242.67
2025-06-13,242.32
2025-06-14,242.16
2025-06-15,242.31
2025-06-16,241.84
2025-06-17,241.83
2025-06-18,242.26
2025-06-19,241.81
2025-06-20,241.65
2025-06-21,240.76
2025-06-22,241.42
2025-06-23,241.58
2025-06-24,240.56
2025-06-25,241.13
2025-06-26,240.96
2025-06-27,240.63
2025-06-28,239.48
2025-06-29,239.73
2025-06-30,239.86
2025-07-01,240.05
2025-07-02,241.34
2025-07-03,241.5
2025-07-04,242.14
2025-07-05,241.98
2025-07-06,241.35
2025-07-07,241.55
2025-07-08,241.19
2025-07-09,241.02
2025-07-10,241.18
2025-07-11,241.22
2025-07-12,240.71
