date,price
2025-03-05,45.29
2025-03-06,45.29
2025-03-07,45.24
2025-03-08,45.52
2025-03-09,45.57
2025-03-10,45.94
2025-03-11,45.95
2025-03-12,45.91
2025-03-13,46.06
2025-03-14,46.26
2025-03-15,46.16
2025-03-16,46.21
2025-03-17,46.17
2025-03-18,46.12
2025-03-19,46.98
2025-03-20,47.8
2025-03-21,47.9
2025-03-22,47.6
2025-03-23,47.55
2025-03-24,47.66
2025-03-25,47.6
2025-03-26,47.55
2025-03-27,47.55
2025-03-28,47.41
2025-03-29,49.13
2025-03-30,49.27
2025-03-31,49.07
2025-04-01,49.29
2025-04-02,49.74
2025-04-03,49.65
2025-04-04,49.6
2025-04-05,49.65
2025-04-06,49.65
2025-04-07,49.75
2025-04-08,50.06
2025-04-09,50.02
2025-04-10,49.98
2025-04-11,49.84
2025-04-12,49.64
2025-04-13,49.5
2025-04-14,49.5
2025-04-15,51.15
2025-04-16,50.41
2025-04-17,50.22
2025-04-18,50.43
2025-04-19,50.77
2025-04-20,51.08
2025-04-21,51.23
2025-04-22,51.08
2025-04-23,51.14
2025-04-24,51.19
2025-04-25,50.99
2025-04-26,50.83
2025-04-27,50.83
2025-04-28,50.63
2025-04-29,50.66
2025-04-30,50.56
2025-05-01,50.41
2025-05-02,50.41
2025-05-03,50.32
2025-05-04,50.58
2025-05-05,50.73
2025-05-06,50.78
2025-05-07,50.68
2025-05-08,50.36
2025-05-09,50.61
2025-05-10,50.58
2025-05-11,50.54
2025-05-12,50.64
2025-05-13,50.5
2025-05-14,50.12
2025-05-15,50.07
2025-05-16,50.07
2025-05-17,50.12
2025-05-18,50.22
2025-05-19,50.32
2025-05-20,50.13
2025-05-21,50.33
2025-05-22,50.38
2025-05-23,50.54
2025-05-24,50.61
2025-05-25,50.64
2025-05-26,50.78
2025-05-27,50.84
2025-05-28,50.69
2025-05-29,50.8
2025-05-30,51.35
2025-05-31,51.16
2025-06-01,51.28
2025-06-02,51.34
2025-06-03,51.39
2025-06-04,51.44
2025-06-05,51.39
2025-06-06,51.44
2025-06-07,51.73
2025-06-08,51.58
2025-06-09,51.77
2025-06-10,52.11
2025-06-11,52.83
2025-06-12,52.53
2025-06-13,52.58
2025-06-14,53.32
2025-06-15,53.28
2025-06-16,55.41
2025-06-17,55.7
2025-06-18,55.65
2025-06-19,55.55
2025-06-20,55.67
2025-06-21,55.77
2025-06-22,56.02
2025-06-23,56.27
2025-06-24,56.25
2025-06-25,56.21
2025-06-26,56.23
2025-06-27,56.1
2025-06-28,55.99
2025-06-29,55.89
2025-06-30,60.35
2025-07-01,62.47
2025-07-02,63.46
2025-07-03,62.69
2025-07-04,62.83
2025-07-05,62.73
2025-07-06,62.94
2025-07-07,63.14
2025-07-08,63.46
2025-07-09,63.32
2025-07-10,63.17
2025-07-11,64.14
