date,price
2025-03-05,25.97
2025-03-06,25.56
2025-03-07,25.58
2025-03-08,25.48
2025-03-09,25.22
2025-03-10,25.24
2025-03-11,25.24
2025-03-12,25.22
2025-03-13,25.34
2025-03-14,25.32
2025-03-15,25.55
2025-03-16,25.39
2025-03-17,25.44
2025-03-18,25.44
2025-03-19,25.43
2025-03-20,25.46
2025-03-21,25.46
2025-03-22,25.32
2025-03-23,25.26
2025-03-24,25.3
2025-03-25,25.47
2025-03-26,25.78
2025-03-27,25.56
2025-03-28,25.43
2025-03-29,25.34
2025-03-30,25.29
2025-03-31,25.22
2025-04-01,25.19
2025-04-02,25.32
2025-04-03,24.89
2025-04-04,24.81
2025-04-05,24.77
2025-04-06,24.64
2025-04-07,24.75
2025-04-08,24.59
2025-04-09,24.57
2025-04-10,24.56
2025-04-11,24.53
2025-04-12,24.55
2025-04-13,24.55
2025-04-14,24.49
2025-04-15,24.48
2025-04-16,24.46
2025-04-17,24.45
2025-04-18,24.51
2025-04-19,24.21
2025-04-20,24.24
2025-04-21,24.16
2025-04-22,24.06
2025-04-23,24.06
2025-04-24,23.94
2025-04-25,23.98
2025-04-26,24.0
2025-04-27,24.1
2025-04-28,24.14
2025-04-29,24.08
2025-04-30,24.06
2025-05-01,24.04
2025-05-02,24.02
2025-05-03,24.09
2025-05-04,24.07
2025-05-05,23.87
2025-05-06,23.97
2025-05-07,23.97
2025-05-08,24.03
2025-05-09,24.01
2025-05-10,23.87
2025-05-11,23.79
2025-05-12,23.83
2025-05-13,23.9
2025-05-14,23.84
2025-05-15,23.74
2025-05-16,23.7
2025-05-17,23.65
2025-05-18,23.56
2025-05-19,23.5
2025-05-20,23.54
2025-05-21,23.53
2025-05-22,23.59
2025-05-23,23.65
2025-05-24,23.69
2025-05-25,23.7
2025-05-26,23.7
2025-05-27,23.69
2025-05-28,23.67
2025-05-29,23.68
2025-05-30,23.72
2025-05-31,23.73
2025-06-01,23.65
2025-06-02,23.55
2025-06-03,23.51
2025-06-04,23.51
2025-06-05,23.53
2025-06-06,23.47
2025-06-07,23.45
2025-06-08,23.45
2025-06-09,23.47
2025-06-10,23.47
2025-06-11,23.49
2025-06-12,23.57
2025-06-13,23.53
2025-06-14,23.47
2025-06-15,23.45
2025-06-16,23.43
2025-06-17,23.53
2025-06-18,23.53
2025-06-19,23.42
2025-06-20,23.51
2025-06-21,23.51
2025-06-22,23.43
2025-06-23,23.51
2025-06-24,23.49
2025-06-25,23.44
2025-06-26,23.39
2025-06-27,23.32
2025-06-28,23.38
2025-06-29,23.32
2025-06-30,23.32
2025-07-01,23.3
2025-07-02,23.33
2025-07-03,23.25
2025-07-04,23.25
2025-07-05,23.27
2025-07-06,23.27
2025-07-07,23.28
2025-07-08,23.29
2025-07-09,23.3
2025-07-10,23.26
2025-07-11,23.24
2025-07-12,23.16
2025-07-13,23.2
2025-07-14,23.22
2025-07-15,23.17
2025-07-16,23.04
