date,price
2025-03-05,299.36
2025-03-06,300.04
2025-03-07,300.78
2025-03-08,301.03
2025-03-09,300.79
2025-03-10,301.03
2025-03-11,300.65
2025-03-12,301.64
2025-03-13,301.12
2025-03-14,299.86
2025-03-15,298.1
2025-03-16,297.85
2025-03-17,297.63
2025-03-18,298.16
2025-03-19,298.45
2025-03-20,297.96
2025-03-21,298.19
2025-03-22,299.93
2025-03-23,301.69
2025-03-24,301.22
2025-03-25,301.7
2025-03-26,302.03
2025-03-27,301.53
2025-03-28,302.04
2025-03-29,302.54
2025-03-30,301.55
2025-03-31,302.55
2025-04-01,302.64
2025-04-02,303.83
2025-04-03,303.92
2025-04-04,303.19
2025-04-05,303.18
2025-04-06,303.55
2025-04-07,303.19
2025-04-08,302.18
2025-04-09,301.93
2025-04-10,303.03
2025-04-11,303.28
2025-04-12,302.91
2025-04-13,303.16
2025-04-14,303.43
2025-04-15,303.07
2025-04-16,302.66
2025-04-17,302.92
2025-04-18,303.73
2025-04-19,304.08
2025-04-20,302.72
2025-04-21,303.08
2025-04-22,305.26
2025-04-23,306.01
2025-04-24,306.34
2025-04-25,306.84
2025-04-26,306.33
2025-04-27,306.83
2025-04-28,307.13
2025-04-29,307.36
2025-04-30,307.11
2025-05-01,308.01
2025-05-02,307.02
2025-05-03,307.52
2025-05-04,306.89
2025-05-05,306.38
2025-05-06,306.41
2025-05-07,305.62
2025-05-08,305.87
2025-05-09,306.88
2025-05-10,307.64
2025-05-11,306.17
2025-05-12,305.92
2025-05-13,305.46
2025-05-14,305.21
2025-05-15,306.96
2025-05-16,306.25
2025-05-17,305.63
2025-05-18,305.38
2025-05-19,303.51
2025-05-20,304.06
2025-05-21,304.21
2025-05-22,304.46
2025-05-23,304.77
2025-05-24,305.0
2025-05-25,305.07
2025-05-26,304.96
2025-05-27,305.01
2025-05-28,304.3
2025-05-29,303.8
2025-05-30,304.27
2025-05-31,304.58
2025-06-01,305.63
2025-06-02,305.38
2025-06-03,305.42
2025-06-04,305.4
2025-06-05,308.46
2025-06-06,309.99
2025-06-07,310.26
2025-06-08,312.48
2025-06-09,312.47
2025-06-10,311.51
2025-06-11,312.53
2025-06-12,311.98
2025-06-13,312.46
2025-06-14,312.98
2025-06-15,314.23
2025-06-16,315.23
2025-06-17,315.36
2025-06-18,316.4
2025-06-19,316.65
2025-06-20,317.65
2025-06-21,317.79
2025-06-22,318.3
2025-06-23,319.08
2025-06-24,319.19
2025-06-25,319.93
2025-06-26,320.18
2025-06-27,319.22
2025-06-28,319.96
2025-06-29,319.96
2025-06-30,320.11
2025-07-01,321.77
2025-07-02,323.04
2025-07-03,322.7
2025-07-04,322.2
2025-07-05,321.46
2025-07-06,322.15
2025-07-07,323.8
2025-07-08,323.42
2025-07-09,324.04
2025-07-10,324.9
2025-07-11,325.4
2025-07-12,325.38
2025-07-13,326.13
2025-07-14,325.9
