ticker,name,current_price,price_change,pct_change,scraped_at
ASONS,ASONS: & Sons,1.75,0.0,0.0,2026-03-03T12:19:38
10LIV,10LIV: 10 Lives,2.27,0.0,0.0,2026-03-03T12:19:38
4KWIB,4KWIB: 4 Kids Walk Into a Bank,8.05,0.01,-0.0,2026-03-03T12:19:38
48HIV,48HIV: 48 Hours in Vegas,6.38,0.01,0.0,2026-03-03T12:19:38
7DOGS,7DOGS: 7 Dogs,0.99,0.02,2.0,2026-03-03T12:19:38
AGAWK,AGAWK: A Great Awakening,8.57,0.01,-0.0,2026-03-03T12:19:38
AHFOG,AHFOG: A Head Full of Ghosts ,3.1,-0.12,-4.0,2026-03-03T12:19:38
ALJES,ALJES: A Life of Jesus,8.08,0.03,0.0,2026-03-03T12:19:38
ALWNT,ALWNT: A Long Winter,3.28,-0.02,-1.0,2026-03-03T12:19:38
MLOMP,MLOMP: A Magnificent Life,0.61,0.0,0.0,2026-03-03T12:19:38
AMFCW,AMFCW: A Manual for Cleaning Women,0.07,0.0,0.0,2026-03-03T12:19:38
MINE2,MINE2: A Minecraft Movie II,292.74,0.03,-0.0,2026-03-03T12:19:38
APHEL,APHEL: A Place Like Hell,4.34,0.02,-0.0,2026-03-03T12:19:38
APFTD,APFTD: A Prayer for the Dying,1.0,0.0,0.0,2026-03-03T12:19:38
VPRIV,VPRIV: A Private Life,1.25,0.0,0.0,2026-03-03T12:19:38
AQPL4,AQPL4: A Quiet Place: Part III,104.54,0.11,-0.0,2026-03-03T12:19:38
ASREL,ASREL: A Special Relationship,0.03,0.0,0.0,2026-03-03T12:19:38
ATBLU,ATBLU: A Tree is Blue,5.4,0.01,-0.0,2026-03-03T12:19:38
AWNTJ,AWNTJ: A Winter's Journey,1.83,0.01,1.0,2026-03-03T12:19:38
ABELW,ABELW: Above The Below,5.49,0.01,-0.0,2026-03-03T12:19:38
ADRIF,ADRIF: Adrift,2.03,0.01,0.0,2026-03-03T12:19:38
AFECT,AFECT: Affection,0.85,-0.15,-15.0,2026-03-03T12:19:38
AFTDH,AFTDH: After This Death,0.66,-0.01,-1.0,2026-03-03T12:19:38
AIRB3,AIRB3: Air Bud Returns,6.66,0.54,9.0,2026-03-03T12:19:38
AIRMA,AIRMA: Airman,20.49,0.02,-0.0,2026-03-03T12:19:38
ALAD2,ALAD2: Aladdin 2,25.16,0.0,0.0,2026-03-03T12:19:38
AFREV,AFREV: Alice + Freda Forever,0.07,0.01,17.0,2026-03-03T12:19:38
ALIE6,ALIE6: Alien sequel,74.72,1.01,1.0,2026-03-03T12:19:38
ALIT2,ALIT2: Alita: Battle Angel 2,31.6,-0.16,-1.0,2026-03-03T12:19:38
ATIAM,ATIAM: All That I Am,0.12,0.0,0.0,2026-03-03T12:19:38
ALUJA,ALUJA: Allelujah,0.07,0.01,17.0,2026-03-03T12:19:38
ALMA,ALMA: Alma,3.14,-0.02,-1.0,2026-03-03T12:19:38
ADAWN,ADAWN: Alone at Dawn aka Combat...,20.68,0.02,-0.0,2026-03-03T12:19:38
ALTGT,ALTGT: Alone Together,2.88,0.0,0.0,2026-03-03T12:19:38
